Feb 08 12:00:36 kingtaco|work	>>>>> BEGIN LOGGING
Feb 08 12:09:53 kingtaco|work	I concur
Feb 08 12:09:54 vapier	how the council member comes to be no longer a gentoo developer is irrelevant to the topic i think
Feb 08 12:10:09 kloeri	spb: well, technically I'll probably never get close to two months and there's at least two weeks to file notice against retirement so it should work out I think
Feb 08 12:10:16 Flameeyes	vapier, agreed
Feb 08 12:10:24 *	avenj (n=avenj@gentoo/developer/avenj) has joined #gentoo-council
Feb 08 12:10:49 kloeri	next person in line is fine imo
Feb 08 12:10:54 spb	i have a slight preference for option 2 in that mail, but taking the next in line works too
Feb 08 12:11:26 spb	i just don't see why a dev leaving the council and getting booted from the council should have different methods to replace them
Feb 08 12:11:29 Flameeyes	kloeri, by the way, if the activty is counted on cvs, it's possible that someone is presenting to the council meeting just fine but resulting inactive
Feb 08 12:11:58 kingtaco|work	ok, lets vote: when a council member leaves his position will be filled by the next candidate in the origional election, subject to unanmious approval of the existing council members
Feb 08 12:12:00 kloeri	Flameeyes: I check all kinds of development related activities, not just cvs
Feb 08 12:12:10 kingtaco|work	failing that it's a general election for a reduced term for that spot
Feb 08 12:12:12 Flameeyes	kloeri, council counting too?
Feb 08 12:12:17 g2boojum	spb: Would you be happier if the GLEP were amended to permit taking the next on the list (plus confirmation) a possibility for slacker boots, as well?
Feb 08 12:12:24 kloeri	Flameeyes: of course
Feb 08 12:12:29 Flameeyes	kingtaco|work, I vote yes
Feb 08 12:12:31 Flameeyes	kloeri, okay
Feb 08 12:12:38 spb	g2boojum: either way works for me; i'd just prefer they were consistent
Feb 08 12:12:52 wolf31o2|mobile	yes
Feb 08 12:12:53 vapier	i'd just say 'leaving the council'
Feb 08 12:12:54 kloeri	I vote yes
Feb 08 12:13:03 kingtaco|work	ok, add "for any reason" to "council member leaves"
Feb 08 12:13:10 kingtaco|work	I vote yes
Feb 08 12:13:13 spb	yes
Feb 08 12:13:39 kingtaco|work	vapier, robbat2|na ?
Feb 08 12:13:42 wolf31o2|mobile	I'd agree with vapier, etc.  I don't see the need for a new election if the council agrees to have the next person in line take the position unanimously
Feb 08 12:13:58 vapier	why does the council need to agree
Feb 08 12:14:15 wolf31o2|mobile	uhh... because that's what we're being asked to vote on
Feb 08 12:14:15 *	The_Paya (i=the_paya@gentoo/developer/thepaya) has joined #gentoo-council
Feb 08 12:14:19 wolf31o2|mobile	;]
Feb 08 12:14:31 kingtaco|work	vapier, you mean agree to the Nth spot?
Feb 08 12:14:45 vapier	a council member leaves, the next spot is filled by the next person in the list]
Feb 08 12:14:55 vapier	doesnt matter if the existing council members like that next person
Feb 08 12:15:06 Flameeyes	vapier, if it happens to be the least preferred member for the council, it would make sense to veto him from joining
Feb 08 12:15:13 vapier	why
Feb 08 12:15:17 vapier	it's an elected position
Feb 08 12:15:18 kingtaco|work	vapier, well, think about it this way
Feb 08 12:15:43 spb	the alternative to having the council members agree on the replacement is to include 'reopen nominations' on the council ballot and not accept anyone below it
Feb 08 12:15:46 kingtaco|work	that person that was voted for months ago may not be in the same position when we would put him in the council
Feb 08 12:15:55 *	rbrown` (n=mynamewa@paludis/contributor/rbrown) has joined #gentoo-council
Feb 08 12:15:57 kingtaco|work	also note that that person has the right to decline
Feb 08 12:16:24 wolf31o2|mobile	no they don't
Feb 08 12:16:27 wolf31o2|mobile	:P
Feb 08 12:16:29 kingtaco|work	I think having the vote is just a safty clause
Feb 08 12:16:43 vapier	then it's either we take the next person or we re-open elections
Feb 08 12:16:49 *	NeddySeagoon (n=NeddySea@gentoo/developer/NeddySeagoon) has joined #gentoo-council
Feb 08 12:16:51 kingtaco|work	oh yres
Feb 08 12:16:53 vapier	we cant selectively skip
Feb 08 12:16:56 kingtaco|work	that's what I'm saying
Feb 08 12:17:21 kingtaco|work	if we decline the next person it would be a election for that position for a reduced term
Feb 08 12:17:31 wolf31o2|mobile	right
Feb 08 12:17:31 kingtaco|work	we as in the current council
Feb 08 12:17:46 vapier	i'll sign off on that
Feb 08 12:17:52 kingtaco|work	ok
Feb 08 12:18:01 kingtaco|work	6 yes, 1 abstain(robbat2)
Feb 08 12:18:05 kingtaco|work	all good?
Feb 08 12:18:12 spb	looks it
Feb 08 12:18:19 kingtaco|work	ok, next item
Feb 08 12:18:20 Flameeyes	yah
Feb 08 12:18:21 wolf31o2|mobile	WFM
Feb 08 12:18:30 kingtaco|work	glep 23 or 44 first?
Feb 08 12:18:34 kingtaco|work	Flameeyes, you pick
Feb 08 12:18:44 *	Flameeyes sets modes [#gentoo-council +v solar]
Feb 08 12:18:49 Flameeyes	solar, you around for the status on 44?
Feb 08 12:18:55 kingtaco|work	I take it it's 44 then :)
Feb 08 12:19:10 Flameeyes	kingtaco|work, if he's around :) if he's not, let's go with 23 :)
Feb 08 12:19:14 kingtaco|work	Flameeyes, it's 12:20 here, he's probably on lunch
Feb 08 12:19:21 kingtaco|work	ok
Feb 08 12:19:22 Flameeyes	then 23 would do
Feb 08 12:19:36 kingtaco|work	so genone wants us to re afferm glep 23 because things have changed
Feb 08 12:19:40 kingtaco|work	anyone want to talk about it?
Feb 08 12:19:48 spb	what's changed, specifically?
Feb 08 12:19:48 vapier	changed how
Feb 08 12:19:53 kingtaco|work	good question
Feb 08 12:20:35 kingtaco|work	does sources.g.o track glep repo?
Feb 08 12:20:36 Flameeyes	for context, and people who have no clue about what 23 is, it's "Handling of ACCEPT_LICENSE"
Feb 08 12:20:38 *	drac (i=drac@gentoo/developer/drac) has joined #gentoo-council
Feb 08 12:20:39 kingtaco|work	g2boojum, ^^?
Feb 08 12:21:01 spb	they're in gentoo/xml/htdocs/
Feb 08 12:21:05 vapier	well genone isnt on and all i see is http://article.gmane.org/gmane.linux.gentoo.devel/45750
Feb 08 12:21:37 g2boojum	kingtaco|work: I had assumed you folks knew what the issues were.  I haven't talked to genone about it.
Feb 08 12:21:38 vapier	http://sources.gentoo.org/viewcvs.py/gentoo/xml/htdocs/proj/en/glep/
Feb 08 12:21:39 kingtaco|work	bump it to next month so he can tell us what's changed?
Feb 08 12:21:40 Flameeyes	I think it's the old discussion of a month or two ago
Feb 08 12:21:55 wolf31o2|mobile	http://bugs.gentoo.org/show_bug.cgi?id=152593
Feb 08 12:22:01 Flameeyes	but I admit I didn't really follow it
Feb 08 12:22:13 wolf31o2|mobile	likely it's the solution to that bug that he wants discussed
Feb 08 12:22:18 g2boojum	spb: paludis folks have any complaints w/ what genone's doing?
Feb 08 12:22:33 g2boojum	?
Feb 08 12:22:46 spb	we already have license filtering, so the only issue is with group syntax and how they're defined
Feb 08 12:23:10 g2boojum	spb: Think you folks, genone, and pkgcore can come to an agreement?
Feb 08 12:23:30 wolf31o2|mobile	there's also http://bugs.gentoo.org/show_bug.cgi?id=17367
Feb 08 12:23:37 vapier	what do other package managers have to do with this ?
Feb 08 12:23:51 kingtaco|pda	shouldnt this be part ogpkg manager spec?
Feb 08 12:24:14 wolf31o2|mobile	nothing... as I understand it, he simply wants us to re-approve it, since the ideas have changed a bit since the original GLEP was approved
Feb 08 12:24:35 spb	kingtaco|pda: it should
Feb 08 12:24:55 vapier	well we can scratch our heads some more or just ask genone for more info
Feb 08 12:25:06 vapier	and make sure we tag all topics for relevant info before the meeting so we dont do this
Feb 08 12:25:07 Flameeyes	afk 1 minute
Feb 08 12:25:14 kingtaco|pda	ok, bump it
Feb 08 12:25:14 g2boojum	vapier: My view was that if there's a reasonable consensus on how to implement it, then the council probably doesn't really need to get involved except to approve it after the fact.
Feb 08 12:25:18 wolf31o2|mobile	looks like our best option is to defer
Feb 08 12:25:29 spb	the only comments i have on the glep as it is are (1) NON-MUST-HAVE-READ is a stupid name, and (2) is it legal to negate a license group?
Feb 08 12:25:34 solar	Flameeyes: pong
Feb 08 12:25:48 kingtaco|pda	solar glep 44
Feb 08 12:25:51 wolf31o2|mobile	but I would recommend everyone check out those two bugs
Feb 08 12:25:59 vapier	spb: something to post to the list
Feb 08 12:26:03 Flameeyes	back
Feb 08 12:26:06 vapier	wolf31o2: you already know my position on * :p
Feb 08 12:26:07 kloeri	deferring seems to be the best option now I agree
Feb 08 12:26:17 Flameeyes	yeah deferring is a good idea
Feb 08 12:26:27 spb	vapier: yeah, hence i say defer
Feb 08 12:26:40 kingtaco|work	ok, defered
Feb 08 12:26:50 kingtaco|work	Flameeyes, solar: glep44 time
Feb 08 12:27:01 solar	KingTaco: it seems to be progressing well. Flameeyes has been really on top of things. In the last few days he took the tree from 10% not ready to 7%. Maybe in a few weeks we will be able to make that cut over
Feb 08 12:27:17 wolf31o2|mobile	spb: I agree that #1 is stupid... and #2, as I remember it, was that a group could only include licenses, not negate them, but it would be legal syntax to allow a negated group in ACCEPT_LICENSE... so you can --@OSI-APPROVED, but @OSI-APPROVED couldn't have -VMWARE (or something like that)
Feb 08 12:27:18 Flameeyes	there is one problem though
Feb 08 12:27:29 kingtaco|work	solar, tbh, I'm not sure what flameeyes wants to talk about so I'll defer to him
Feb 08 12:28:02 Flameeyes	there are a few packages that are currently unmaintained (officially, or simply because the herd they belong to does not exist anymore)
Feb 08 12:28:13 Flameeyes	and of those, there are quite a few that misses an upstream package
Feb 08 12:28:28 Flameeyes	what are we up to do with them?
Feb 08 12:28:34 wolf31o2|mobile	are they not on our mirrors?
Feb 08 12:28:38 solar	when you say upstream you are saying they are on the mirrors but the SRC_URI has expired
Feb 08 12:28:41 Flameeyes	do we consider glep44 an high enough priority to mess with them?
Feb 08 12:28:47 Flameeyes	solar, yes
Feb 08 12:29:05 Flameeyes	the quick and dirty solution is to use mirror://gentoo/ for those files
Feb 08 12:29:07 wolf31o2|mobile	if they're on the mirrors, I would say leave them alone, if they're neither in SRC_URI or the mirrors, they need to be axed
Feb 08 12:29:16 solar	Well the timeframe was about 1 year. That glep comes from 04-Dec-2005
Feb 08 12:29:24 kingtaco|work	mess with them how?  isn't it simply regenerating the digests?
Feb 08 12:29:29 spb	my comment on this is that PMS in its current state only describes Manifest2 and not the old-style digest/manifest
Feb 08 12:29:45 Flameeyes	kingtaco|work, see the missing SRC_URI url
Feb 08 12:29:47 wolf31o2|mobile	PMS?
Feb 08 12:29:50 spb	so it'd be nice to have the tree completely converted by the time that gets implemented
Feb 08 12:29:54 spb	wolf31o2|mobile: package manager spec
Feb 08 12:29:57 wolf31o2|mobile	k
Feb 08 12:29:59 kloeri	just change them to mirror://gentoo/ where possible
Feb 08 12:30:04 kingtaco|work	if there is no upstream URI then change to mirror://gentoo and if it's not on our mirrors, pull the shit from the tree
Feb 08 12:30:13 wolf31o2|mobile	agreed
Feb 08 12:30:41 wolf31o2|mobile	Flameeyes: I'm willing to help you with this if you need it to try to get this done quicker... I'd *love* to be able to make the cut for 2007.0
Feb 08 12:30:41 *	genstef (n=genstef@gentoo/developer/genstef) has left #gentoo-council
Feb 08 12:30:56 Flameeyes	if we all agree on that, I'll see to fix the pacakges updating SRC_URI when needed (and opening a reference bug for safety)
Feb 08 12:31:45 Flameeyes	vapier, there are a few of your packages and base-system packages too
Feb 08 12:31:59 vapier	when arent there
Feb 08 12:32:04 kingtaco|work	ok, so we seem to agree on the course of action for these packages, is there anything we need to vote on or discuss more?
Feb 08 12:32:40 Flameeyes	well, I would ask if I can just go on and fix the tree at once or if I need to clear it up with all the maintainers
Feb 08 12:32:59 spb	if you're not making substantive changes then i don't see the problem
Feb 08 12:32:59 *	christel (i=christel@freenode/staff/gentoo.christel) has joined #gentoo-council
Feb 08 12:33:00 Flameeyes	[considering that the list of packages fixed by me is generated and easily found, as I'm using a standard commit message
Feb 08 12:33:02 solar	So target deadline is before 2007.0 snapshots begin? Can you give us a rough idea when that is planned for?
Feb 08 12:33:26 Flameeyes	solar, maybe too soon
Feb 08 12:33:34 wolf31o2|mobile	it very well might be... the plan in Monday
Feb 08 12:33:35 kingtaco|work	Flameeyes, can you generate a list of ebuilds that need fixing?
Feb 08 12:33:42 Flameeyes	kingtaco|work, I have it already
Feb 08 12:33:55 solar	can you post it for everybody else?
Feb 08 12:33:57 Flameeyes	http://rafb.net/p/s2xMEr38.html
Feb 08 12:34:02 Flameeyes	solar, was nopasting it already :)
Feb 08 12:34:07 kingtaco|work	Flameeyes, lets script emails to the maintainers and give them a week or 2 to fix then fix them ourselves
Feb 08 12:34:19 Flameeyes	kingtaco|work, that would miss the snapshot
Feb 08 12:34:30 kingtaco|work	hrm
Feb 08 12:34:37 wolf31o2|mobile	if that's the consensus, I'm fine with that
Feb 08 12:34:47 wolf31o2|mobile	but we're not pushing the snapshot >= 2 weeks
Feb 08 12:34:54 spb	i'm in favour of just doing it
Feb 08 12:34:58 Flameeyes	me too
Feb 08 12:34:58 wolf31o2|mobile	as am I
Feb 08 12:35:06 wolf31o2|mobile	it's just Manifest generation
Feb 08 12:35:10 kingtaco|work	ok, I'll ride the wagon
Feb 08 12:35:16 kloeri	yeah, just do it
Feb 08 12:35:20 spb	it shouldn't involve any substantive ebuild changes
Feb 08 12:35:27 kingtaco|work	vapier, you game?
Feb 08 12:35:33 spb	just regenerating stuff that's regenerated on every commit
Feb 08 12:35:34 wolf31o2|mobile	right
Feb 08 12:35:36 kloeri	and let ebuild maintainers worry about real bugs
Feb 08 12:35:51 wolf31o2|mobile	so who's planning on doing this work? us?
Feb 08 12:36:00 Flameeyes	I can do it overnight
Feb 08 12:36:02 kingtaco|work	sounds like flameeyes is
Feb 08 12:36:03 vapier	considering all you're doing is rebuilding digests, just do it now ;p
Feb 08 12:36:06 wolf31o2|mobile	I volunteer
Feb 08 12:36:14 wolf31o2|mobile	Flameeyes: I'll do games-*
Feb 08 12:36:19 kingtaco|work	were I not at scale this weekend I'd help
Feb 08 12:36:19 wolf31o2|mobile	Flameeyes: I see there's a bunch of them
Feb 08 12:36:31 vapier	it isnt like you're changing the ebuild
Feb 08 12:36:38 wolf31o2|mobile	right
Feb 08 12:36:45 Flameeyes	wolf31o2|mobile, okay, that's really good to hear as there are a few that aren't fetchable to begin with iirc
Feb 08 12:36:45 kingtaco|work	ok
Feb 08 12:36:56 kingtaco|work	next topic
Feb 08 12:37:00 kingtaco|work	if we have them
Feb 08 12:37:01 wolf31o2|mobile	the only concern I have is there's a possible bug in pycrypto... it hasn't been confirmed yet, though
Feb 08 12:37:06 kloeri	Flameeyes: I can do dev-python if you like
Feb 08 12:37:29 wolf31o2|mobile	http://bugs.gentoo.org/show_bug.cgi?id=164462 <---
Feb 08 12:37:50 kingtaco|work	nothing else on the list, anyone got anything else before the floor opens?
Feb 08 12:37:58 Flameeyes	wolf31o2|mobile, not the same as last time?
Feb 08 12:37:59 wolf31o2|mobile	I don't think that should stop us, but if we find it is a bug, it might keep us from doing the switch for 2007.0
Feb 08 12:38:12 wolf31o2|mobile	Flameeyes: dunno... I haven't verified it just yet
Feb 08 12:38:23 g2boojum	tr1?
Feb 08 12:38:25 kingtaco|work	ah
Feb 08 12:38:39 kingtaco|work	g2boojum, iirc you wanted us to talk about it, but what is there to talk about?
Feb 08 12:39:03 g2boojum	kingtaco|work: It'd be nice to have an executive decision on how to handle tr1 support in portage.
Feb 08 12:39:07 Flameeyes	ah, for a note, don't use ebuild .. digest if possible, or it would override the digest check of FEATURES=strict
Feb 08 12:39:24 Flameeyes	just run echangelog and repoman commit
Feb 08 12:39:32 g2boojum	There's general agreement that none of the current ideas are fabulous, but something is going to have to be chosen relatively soon.
Feb 08 12:39:36 kingtaco|work	g2boojum, I don't think most of us have an oppinion as it is
Feb 08 12:39:41 kingtaco|work	portage doesn't use it
Feb 08 12:39:42 g2boojum	s/ideas/solutions/
Feb 08 12:39:49 Flameeyes	I've used "Regenerate digest in Manifest2 format." for all the commits, so that the list is regenerated by grepping for the string
Feb 08 12:39:58 kloeri	g2boojum: I think the best proposal so far is ciaranms many virtuals
Feb 08 12:40:10 g2boojum	kingtaco|work: Um, true only because portage is python, and C.
Feb 08 12:40:22 kingtaco|work	indeed
Feb 08 12:40:30 kingtaco|work	so it'
Feb 08 12:40:37 g2boojum	kingtaco|work: It will still affect the portage tree, once people start writing packages that rely on tr1 support in g++.
Feb 08 12:40:38 spb	kloeri: unfortunately true. which is a pity, because that solution is a pain in the arse
Feb 08 12:40:48 kloeri	spb: completely agree
Feb 08 12:40:56 kingtaco|work	so as I see it, tr1 support is a dep of some packages where they can either dep on boost or gcc4
Feb 08 12:41:05 wolf31o2|mobile	Flameeyes: k
Feb 08 12:41:22 kingtaco|work	can't we have a simple virtual of boost || gcc-4.1 ?
Feb 08 12:41:28 Flameeyes	[reason for regenerating the list is that those packages are good candidates for new maintainers and/or removal]
Feb 08 12:41:30 kloeri	kingtaco|work: gcc-4.1 or boost, yes
Feb 08 12:41:32 spb	kingtaco|work: the problem is that right now nothing implements all of tr1, and the bits that various things implement are all different
Feb 08 12:41:37 kingtaco|work	maybe a tr1.eclass that does some sanity checks
Feb 08 12:42:11 vapier	if we simply forced people to stop being lazy and get their arches onto gcc-4.1, then we'd be set ;)
Feb 08 12:42:16 kingtaco|work	so upstream is using broken libraries
Feb 08 12:42:20 spb	vapier: not quite
Feb 08 12:42:24 g2boojum	kingtaco|work: Not really, because in time there's an expectation that people will remove boost tr1 support in favor of support built-into g++, but removing a c++ lib will break compiled packages.
Feb 08 12:42:29 *	iluxa (n=anonymou@gentoo/developer/iluxa) has joined #gentoo-council
Feb 08 12:42:30 spb	if something starts using tr1 regexes you have problems again
Feb 08 12:42:42 vapier	if it isnt in the compiler then dont use it
Feb 08 12:42:43 g2boojum	kingtaco|work: So || won't really work well.
Feb 08 12:42:48 vapier	boost sucks
Feb 08 12:42:48 *	Flameeyes sets modes [#gentoo-council +v Betelgeuse]
Feb 08 12:42:51 kingtaco|work	fyi, jokey likes the tr1.eclass idea
Feb 08 12:42:54 kingtaco|work	(from pm)
Feb 08 12:42:59 Flameeyes	Betelgeuse has another proposal too
Feb 08 12:43:16 Betelgeuse	This can be solved by || ( ) deps that lock to the version at compile time
Feb 08 12:43:18 spb	vapier: 4.2 and 4.3 have bits of tr1 that 4.1 doesn't, as do boost and stlport iirc
Feb 08 12:43:24 Betelgeuse	But that would be EAPI=1 most likely
Feb 08 12:43:38 spb	Betelgeuse: it's also a pain in the arse
Feb 08 12:43:58 spb	what if i use a feature of tr1 that at present is only implemented by boost, but gets support for it in, say, gcc-4.3?
Feb 08 12:43:59 kingtaco|work	so there is no full implementation of tr1 yet
Feb 08 12:44:22 Betelgeuse	spb: you would use boost:: any way
Feb 08 12:44:25 kingtaco|work	I'd say packages that use tr1 type features should hard dep on whatever provides those features
Feb 08 12:44:28 vapier	how many packages actually leverage tr1
Feb 08 12:44:28 g2boojum	kingtaco|work: There is, but it's boost, which, as vapier points out, "sucks".
Feb 08 12:44:29 spb	then with the || ( ) dep thing you'd have to go through and update every ebuild using it for the new dep
Feb 08 12:44:32 kingtaco|work	I'd still use an eclass for sanity checks
Feb 08 12:44:40 Betelgeuse	spb: The sources having the wrapper would need mos any way.
Feb 08 12:45:00 vapier	"every ebuild" isnt a big deal if we're talking a handful of packages
Feb 08 12:45:00 kingtaco|work	we could hard dep on boost until gcc gets full tr1 support
Feb 08 12:45:08 Betelgeuse	spb: nothing is saying that we could not have the binding in the virtual
Feb 08 12:45:22 Flameeyes	how many packages are we talking about?
Feb 08 12:45:34 Flameeyes	I wouldn't go to something like 10 virtuals if the packages using them are 3 or 4
Feb 08 12:46:01 spb	Flameeyes: if we go the virtuals route i'd add them one at a time as needed
Feb 08 12:46:04 kingtaco|work	g2boojum, it might suck today, that doesn't mean it'll suck tomorrow
Feb 08 12:46:19 Flameeyes	spb, that doesn't stop them from being 10 virtuals even if they are 3 packages
Feb 08 12:46:21 spb	kingtaco|work: it's sucked for the last five years; no reason to suppose it'll change
Feb 08 12:46:30 Flameeyes	because they might be using 10 different features of tr1
Feb 08 12:46:36 spb	at the moment the issue is mainly with tr1-memory
Feb 08 12:46:47 g2boojum	kingtaco|work: Oh, the code in boost is excellent.  The problem is that you need almost all of it, and it's huge, for tr1.
Feb 08 12:46:48 spb	which means right now it'll be one or two virtuals
Feb 08 12:47:12 kingtaco|work	I guess I don't see what the big deal is that an ebuild deps on what it needs, perhaps a eclass to do sanity checks
Feb 08 12:47:15 Flameeyes	nobody has a figure of how many packages are using tr1?
Feb 08 12:47:26 spb	kingtaco|work: 11M of source is a hell of a lot for a single shared pointer class
Feb 08 12:47:35 kingtaco|work	if it only needs gcc tr1 support then it should dep on the minimum gcc
Feb 08 12:48:06 spb	except that not all archs have that gcc available
Feb 08 12:48:21 kingtaco|work	spb, I'd argue that the whole concept is crap, and that none of it is ever needed with proper programming, but it's not something that we need to go into now
Feb 08 12:48:33 kloeri	Flameeyes: don't have any figures on that but grepping the tree for boost deps should give you some idea I guess
Feb 08 12:48:38 spb	define 'proper programming'
Feb 08 12:48:43 *	Flameeyes sets modes [#gentoo-council +v jeeves]
Feb 08 12:48:46 Flameeyes	!ddep boost
Feb 08 12:48:47 jeeves	yikes 44 pkgs reverse depend on boost! Try digging around here instead. http://tinderbox.dev.gentoo.org/misc/dindex/
Feb 08 12:48:49 vapier	assuming the boost requirement is for TR1
Feb 08 12:48:58 kingtaco|work	spb, not difficult to manage your own pointers
Feb 08 12:48:58 g2boojum	Flameeyes: Probably not.  The worry isn't so much the current number of packages, but there's evidence that a lot of folks are planning to jump on the tr1 bandwagon quite soon.
Feb 08 12:49:01 vapier	and not just for one of the bajillion other things boost provides
Feb 08 12:49:04 spb	kingtaco|work: hah
Feb 08 12:49:10 kloeri	it's going to expand in the future as well
Feb 08 12:49:16 kingtaco|work	anyway
Feb 08 12:49:28 kingtaco|work	it doesn't matter what you or I think about those that use this library
Feb 08 12:49:39 Flameeyes	g2boojum, there are often a lot of evidences that a lot of folks are jumping on a lot of bandwagons.... I don't like to get decisions over those evidences
Feb 08 12:49:42 kingtaco|work	people are using it so we have to support it
Feb 08 12:49:57 kingtaco|work	but I still don't know why it has to be treated differently than any other dep
Feb 08 12:50:01 kloeri	vapier: yes, only a vague idea as some packages might just require >=gcc-4.1 instead of boost etc.
Feb 08 12:50:06 Flameeyes	vapier, let's say that 1/4 of those packages need tr1 right now? would that make any sense?
Feb 08 12:50:28 spb	kingtaco|work: if we had a complete implementation of tr1 anywhere then it would be simple
Feb 08 12:50:59 kingtaco|work	spb, surely upstreams that use tr1 would say "use gcc" or "use boost" or "use libtr1"
Feb 08 12:51:29 spb	kingtaco|work: most of them will use tr1::shared_ptr and have configure.ac check whether gcc has it and include wrapper code for boost's implementation if it doesn't
Feb 08 12:51:57 kingtaco|work	ok
Feb 08 12:52:12 spb	except that if you happen to be using a different STL implementation then the configure check will see it in the standard library and use that version instead of boost or gcc
Feb 08 12:53:03 kingtaco|work	so, follow me here for a sec
Feb 08 12:53:14 kingtaco|work	say we made all tr1 ebuilds dep on boost
Feb 08 12:53:17 *	diox (n=diox@gentoo/developer/diox) has joined #gentoo-council
Feb 08 12:53:36 kingtaco|work	most of them at compile time would detect that gcc has what they need from tr1 and ignore boost
Feb 08 12:53:38 kingtaco|work	right?
Feb 08 12:53:46 spb	but boost is still pulled into the depgraph
Feb 08 12:53:51 spb	and boost is fucking huge
Feb 08 12:53:56 kingtaco|work	right
Feb 08 12:54:05 kingtaco|work	but you only have to compile it once
Feb 08 12:54:18 spb	except that in most cases you don't have to compile it at all
Feb 08 12:54:43 kingtaco|work	then why can't the ebuilds for these packages dep on the proper thing?
Feb 08 12:54:44 spb	it's kinda like saying that vim should always build gvim as well because you only have to compile X once
Feb 08 12:54:47 Flameeyes	sincerely, I'd just use || ( ) deps until the size of the involved tree is assessed
Feb 08 12:54:51 kingtaco|work	if it works with gcc 4.1, then dep on it
Feb 08 12:54:59 kingtaco|work	if it doesn't dep on boost
Feb 08 12:55:05 Flameeyes	if the packages needing tr1 grew a lot, go with virtuals
Feb 08 12:55:07 spb	depping on 4.1 doesn't work on platforms that don't have it yet
Feb 08 12:55:14 kingtaco|work	from what you tell me, noone in their right mind would use boost where gcc is available
Feb 08 12:55:21 Flameeyes	I wouldn't go with virtuals right away, because we don't know the size
Feb 08 12:55:56 kingtaco|work	spb, which brings us back to virtual/tr1
Feb 08 12:56:11 spb	kingtaco|work: except that there is nothing that provides all of tr1
Feb 08 12:56:17 kingtaco|work	indeed
Feb 08 12:56:22 kingtaco|work	so there isn't a good solution
Feb 08 12:56:41 kingtaco|work	other than messy mips?(boost):(gcc-4) type stuff
Feb 08 12:56:41 Flameeyes	and we have no figure of what's needed, which makes it difficult to get the pro/cons of the various options
Feb 08 12:56:47 Flameeyes	as none of them is "pro only"
Feb 08 12:56:48 g2boojum	Which was why ciaranm suggested virtual/tr1-memory, virtual/tr1-...
Feb 08 12:57:02 spb	g2boojum: which kinda sucks, but is the best option anyone's suggested yet
Feb 08 12:57:22 Flameeyes	g2boojum, which wouldn't really be good if you had 10 virtuals and 4 packages using them ...
Feb 08 12:57:40 vapier	so just create virtuals as packages need them
Feb 08 12:58:00 vapier	whether it be virtuals or a tr1.eclass, it's going to be chunky
Feb 08 12:58:06 kingtaco|work	Flameeyes, the assumption is that more packages will use tr1 as time goes on
