Mar 15 13:59:49 Kugelfang	*bling bling bling*
Mar 15 14:35:13 Kugelfang	kingtaco|work: :-)
Mar 15 14:35:19 kingtaco|work	aight
Mar 15 14:35:20 wolf31o2|mobile	slacker^Wspanky ? *grin*
Mar 15 14:35:31 robbat2	vapier, ^^^
Mar 15 14:35:36 kingtaco|work	vapier, you wanna play along with the other kids?
Mar 15 14:36:12 *	MinnieBannister (n=roy@gentoo/developer/NeddySeagoon) has joined #gentoo-council
Mar 15 14:36:18 kingtaco|work	I'd also like to see christel involved in the begining
Mar 15 14:36:21 wolf31o2|mobile	also, where should we stick this for the time being?
Mar 15 14:36:32 kingtaco|work	I think she has a lot of good ideas about stuff like this
Mar 15 14:36:32 Kugelfang	wolf31o2|mobile: council project space
Mar 15 14:36:38 wolf31o2|mobile	that's what I was thinking
Mar 15 14:36:40 kingtaco|work	yeah, proj/en/council
Mar 15 14:37:16 kingtaco|work	aight
Mar 15 14:37:19 wolf31o2|mobile	ok... added now
Mar 15 14:37:25 Kugelfang	excellent
Mar 15 14:37:33 g2boojum	She's going to be a tad busy.  We got into GSOC again.
Mar 15 14:37:49 kingtaco|work	g2boojum, I know, I'm trying to get you guys a bok this year :)
Mar 15 14:37:53 kingtaco|work	*box
Mar 15 14:38:03 wolf31o2|mobile	<CIA-1> wolf31o2 * gentoo/xml/htdocs/proj/en/council/coc.xml: Initial approved version of the Code of Conduct, to be reviewed at the next Council meeting.
Mar 15 14:38:22 g2boojum	kingtaco|work: gracias
Mar 15 14:38:35 robbat2	ok, i'll do the logs+summary for this meeting
Mar 15 14:38:45 kingtaco|work	g2boojum, however, she can also manage to herd some insane group of 15k women or something with similar rules
Mar 15 14:38:59 *	cshields (n=cshields@osuosl/staff/cshields) has joined #gentoo-council
Mar 15 14:39:05 kingtaco|work	so
Mar 15 14:39:06 wolf31o2|mobile	did anybody do logs/summary from the last one?
Mar 15 14:39:12 kingtaco|work	yeah, vapier did
Mar 15 14:39:14 wolf31o2|mobile	k
Mar 15 14:39:21 wolf31o2|mobile	I didn't know he did a summary
Mar 15 14:39:42 kingtaco|work	so I think it's best that a couple of us council types take charge in getting the initial group going
Mar 15 14:40:07 kingtaco|work	probably kloeri, myself || robbat2 and one mroe
Mar 15 14:40:26 robbat2	err, initial group of proctors?
Mar 15 14:40:28 wolf31o2|mobile	well, you and robin have the infra-fu to make it happen
Mar 15 14:40:29 kingtaco|work	no
Mar 15 14:40:31 kingtaco|work	no
Mar 15 14:40:46 kingtaco|work	just getting the initial group together
Mar 15 14:40:50 robbat2	ah, ok
Mar 15 14:40:57 kingtaco|work	forums, #gentoo, seemant, g2boojum, christel
Mar 15 14:41:09 kingtaco|work	just so we don't all have to take up time on it
Mar 15 14:41:10 kloeri	I'd be happy to help get the initial group together
Mar 15 14:41:18 vapier	maybe some wikipedia links for trolling/flaming
Mar 15 14:41:28 kingtaco|work	wolf31o2|mobile, that's why I suggested one of us :)
Mar 15 14:41:43 kingtaco|work	and kloeri because it's sorta his turf
Mar 15 14:42:02 robbat2	ok, for implementation wise, if you want to block somebodies posts right now, grab me in infra, the initial app is an hour or 3 away from being completed
Mar 15 14:42:05 kingtaco|work	vapier, indeed
Mar 15 14:42:23 kingtaco|work	or me, after robbat2 shows me how it works
Mar 15 14:42:35 kingtaco|work	who's the 3rd?
Mar 15 14:42:37 vapier	i'd prefer to abstain from vote for now until i get back to review current list
Mar 15 14:42:42 kingtaco|work	and robbat2 you want to or shall I?
Mar 15 14:42:44 kingtaco|work	vapier, so noted
Mar 15 14:42:54 robbat2	kingtaco|work, you take it please, so I can finish the app
Mar 15 14:43:00 kingtaco|work	robbat2, you got it
Mar 15 14:43:06 kingtaco|work	we need one more person
Mar 15 14:43:12 kingtaco|work	Uber, ?
Mar 15 14:43:12 robbat2	here's my implementation plan - http://dev.gentoo.org/~robbat2/coc-ml-impl.txt
Mar 15 14:43:22 kingtaco|work	Kugelfang, ?
Mar 15 14:43:39 kingtaco|work	I'm excluding wolf as I want him for releng and trustees :)
Mar 15 14:43:49 Kugelfang	kingtaco|work: huh?
Mar 15 14:43:55 wolf31o2|mobile	heh... I was about to say I won't have time until after release
Mar 15 14:44:03 kingtaco|work	Kugelfang, 3 of us are going to get the ball rolling
Mar 15 14:44:03 *	expose has quit (Connection timed out)
Mar 15 14:44:15 kingtaco|work	Kugelfang, it's me and kloeri so far, won't you join us?
Mar 15 14:44:24 Kugelfang	kingtaco|work: all i want is grant in the group... i'm busy with release as well
Mar 15 14:44:31 Kugelfang	kingtaco|work: so no
Mar 15 14:44:35 kingtaco|work	Uber, join us
Mar 15 14:44:45 kingtaco|work	or it's just me and kloeri
Mar 15 14:44:49 kingtaco|work	we can do that
Mar 15 14:44:53 kloeri	I'm only busy with releng work for two archs :)
Mar 15 14:44:59 kingtaco|work	haha
Mar 15 14:45:04 kingtaco|work	and I'm busy with infra
Mar 15 14:45:08 kingtaco|work	we're all busy
Mar 15 14:45:18 Kugelfang	i still say no :-P
Mar 15 14:45:29 kingtaco|work	aight, me and kloeri it is
Mar 15 14:45:38 kingtaco|work	Uber, if you want to help, please let us know
Mar 15 14:45:46 kingtaco|work	and I think we're done
Mar 15 14:45:50 kingtaco|work	any other business?
Mar 15 14:46:05 robbat2	nope
Mar 15 14:46:13 kloeri	nope
Mar 15 14:46:17 Kugelfang	so let's finish this :-)
Mar 15 14:46:27 Uber	kingtaco|work: I'm a little busy right now, sorry
Mar 15 14:46:31 kingtaco|work	we just did
Mar 15 14:46:38 kingtaco|work	class dismissed
Mar 15 14:46:42 *	kingtaco|work sets mode -m #gentoo-council
Mar 15 14:46:50 robbat2	kingtaco|work, maybe ask amne to help you get a group together too?
Mar 15 14:46:51 Uber	kingtaco|work: huh, helping out how?
Mar 15 14:46:52 impulze	heh
Mar 15 14:47:07 kingtaco|work	Uber, just orginizing the initial people
Mar 15 14:47:09 kloeri	wee! /me runs off to beat the weaker guys
Mar 15 14:47:29 kingtaco|work	robbat2, aalready in pm with him
