21:00:03 <ulm>	O.K., let's start
22:08:30 <Calchan>	grobian, would you start a discussion on that and make sure we get relevant feedback on this, so that we can vote on this next time?
22:08:33 <ulm>	grobian: and please get the discussion on -dev ml going
22:08:43 <grobian>	sure I can, but may I request you all to do a little bit of homework for next meeting then?  That'll save you some time in here ;)
22:09:14 <Calchan>	grobian, seriously, your message was posted a bit late for me to research that thouroughly enough
22:09:17 <grobian>	ulm: all questions have been addressed in the mail as far as I can see, so I would request you to put the questions out there, so I can reiterate
22:09:27 <Betelgeuse>	Calchan: the original message was on gentoo-dev quite a while ok I think
22:09:48 <Calchan>	Betelgeuse, a bit short for me, slow and old brain and all that
22:09:55 <Calchan>	plus life
22:09:57 <grobian>	3 weeks, 1 day, 10 hours and 57 minutes ago
22:09:58 <Betelgeuse>	Calchan: 3 weeks ago
22:10:05 <ulm>	grobian: o.k., i'll followup on the ml then
22:10:08 <Calchan>	3 weeks? ok than, I slacked
22:10:12 <ulm>	next topic: "5. Usage of bash 3.2 features in Portage tree"
22:10:17 <leio>	grobian: will you write a PMS patch?
22:10:30 <grobian>	leio: if you request me to do so, I'm willing to do
22:10:52 <Calchan>	grobian, please do, if we have all material ready for next time it'll be easier
22:11:15 <grobian>	Calchan: ok, I'll do
22:11:18 <ulm>	patrick's message is here: http://archives.gentoo.org/gentoo-council/msg_ed3cba3e0ded55c4e497451af46ea55b.xml
22:11:25 <leio>	grobian: at some point it will be necessary if the discussion leads to a potential accepting of it, the sooner the better. Things might be clearer for the discussion as well if there's a concrete detailed PMS patch to discuss
22:11:25 <Calchan>	grobian, thanks
22:11:27 <ulm>	we've moved on ;)
22:11:39 <ulm>	stop discussing topic 4 please
22:12:03 <Calchan>	this issue can easily be answered with the decision we've made in 3.2
22:12:18 <ulm>	right, it's linked to that
22:12:29 <Calchan>	is 3.2 stable for at least a year?
22:13:00 <ulm>	DrEeevil: can you answer this?
22:13:08 <DrEeevil>	bash 3.2 has been stable for much more than a year
22:13:22 <DrEeevil>	bash 3.2 was added Oct 2006 and stabled May 2007
22:13:54 <leio>	that part sounds OK. Now the problem is it being part of EAPI-0 and how amending of that is done as a process
22:14:30 <Calchan>	is it that urgent that we can't wait for EAPI3?
22:14:40 <DrEeevil>	unrelated to EAPI
22:14:41 <Betelgeuse>	Calchan: You should know global scope issues
22:14:45 <DrEeevil>	please stop confusing things :)
22:14:47 <Calchan>	oh right
22:14:49 <Betelgeuse>	Calchan: To parse the EAPI out
22:14:49 <Calchan>	sorry
22:15:28 <Betelgeuse>	leio: We as a council can decide for EAPI 0.
22:15:35 <lu_zero>	I think we could safely amend pms
22:15:57 <ulm>	if we want to be consequent, we should either revert all usage of 3.2 features in the tree, or allow 3.2 in general
22:16:03 <DrEeevil>	exactly
22:16:12 <DrEeevil>	reverting will be a very unpleasant thing to do
22:16:14 <ulm>	probably it's too late for the first option already
22:16:35 <dertobi123>	given the fact that we have bash 3.2 stable for >2 years i think this mostly is a non-issue. therefore i'd prefer "fixing" pms and requiring bash-3.2 thus allowing it in general
22:16:48 <ulm>	but we should make sure that this won't happen again for bash 4.0
22:16:51 <Betelgeuse>	Let's see for any bash >3.2 features they will be reverted
22:16:54 <lu_zero>	I'd go with the simpler way
22:17:04 <ulm>	Betelgeuse: exactly
22:17:05 <lu_zero>	Betelgeuse agreed
22:17:06 <Calchan>	is there any chance that we could end up in a situation where we can't parse the ebuild and thus not get the EAPI?
22:17:20 <DrEeevil>	Calchan: bash4 features potentially
22:17:30 <DrEeevil>	bash 3.0/3.2 changes are small enough to be parseable
22:18:20 <--	dabbott|work has quit (Client Quit)
22:18:29 <Calchan>	DrEeevil, so why do we care about requiring 3.2 then?
22:18:40 <Betelgeuse>	Ideally we would have repoman parsing the ebuilds with a 3.2 parser.
22:18:45 <DrEeevil>	Calchan: because it is actively used
22:19:12 <DrEeevil>	either we allow it (fix PMS) or we don't (fix tree), but having the spec and the product disagree like that is bad
22:19:20 <Calchan>	DrEeevil, I would tend to consider that an error if it can't be relied on
22:19:33 <DrEeevil>	Calchan: an error with >150 occurances in eclasses only
22:19:51 <Calchan>	DrEeevil, can't be sedded?
22:19:58 <DrEeevil>	Calchan: no, not that easy
22:20:09 <DrEeevil>	and people will not appreciate having good features removed
22:20:09 <ulm>	Calchan: and what would be the point?
22:20:35 <Calchan>	ulm, teaching people to not use features they can't rely on?
22:20:51 <ulm>	Calchan: we can do this for bash 4.0 features ;)
22:21:00 <dertobi123>	ulm: we *should* or better *must*
22:21:06 <DrEeevil>	Calchan: you're about a year late for that
22:21:10 -->	Zorry (n=zorry@fu/coder/zorry) has joined #gentoo-council
22:21:21 <Calchan>	DrEeevil, so what?
22:21:22 <DrEeevil>	people warned back then and noone seemed to care, so it started to get used more and more
22:21:27 <DrEeevil>	procedural fail.
22:22:02 <ulm>	I think all arguments have been said and we can vote: "Should usage of bash 3.2 features in the Portage tree be a) forbidden (i.e. tree reverted to 3.0), b) allowed (i.e. PMS changed), or should c) the issue be ignored?"
22:22:17 <DrEeevil>	we've been doing (c) for long enough
22:22:31 <lu_zero>	still is an option
22:22:44 <ulm>	lu_zero: that's why it's listed
22:22:51 <dertobi123>	i think c is not an option to vote upon
22:23:19 <Calchan>	I still don't know what is to be gained by using 3.2, and from what I understand not much if anything
22:23:42 <DrEeevil>	Calchan: I see it mostly as a matter of having a correct specification
22:23:57 <DrEeevil>	if PMS is supposed to have any relevance it needs to document reality
22:24:08 <dertobi123>	reality already is that we have 3.2 features being used and the only thing we can do about this *now* is to change pms to reflect that behaviour but also to make sure such doesn't happen again with bash-4
22:24:10 <Calchan>	which doesn't matter if people don't foolow it like they did
22:24:26 <DrEeevil>	dertobi123: agreed
22:25:01 <DrEeevil>	Calchan: they weren't, in any way, sanctioned
22:25:15 <DrEeevil>	hey, why not use the shiny features!
22:25:19 <ulm>	we may also have a stronger point for forbidding 4.0 features if PMS reflects the real status of the tree
22:25:39 <Betelgeuse>	If we can make repoman fail people won't add new features
22:25:50 <Betelgeuse>	I bet much of it is just because people don't know/notice
22:26:03 <DrEeevil>	the bash 3.2 features were quite conscious
22:26:09 <Betelgeuse>	DrEeevil: PMS authors can't really upgrade the bash version but the council should
22:26:56 <ulm>	so vote please: "Should usage of bash 3.2 features in the Portage tree be a) forbidden (i.e. tree reverted to 3.0), or b) allowed (i.e. PMS changed)"
22:27:03 <Betelgeuse>	b
22:27:05 <ulm>	i vote for b
22:27:07 <Calchan>	Betelgeuse, I'd agree with you but it's still not a good enough reason to let people not respect a decision previously made by the council
22:27:11 <DrEeevil>	b
22:27:15 <lu_zero>	b
22:27:20 <Calchan>	a
22:27:26 <dertobi123>	b
22:27:32 <leio>	b
22:27:38 <tanderson>	I'd like to request some general consensus that we shouldn't repeat things like this however
22:27:54 <tanderson>	So people can't introduce 4.0 features and then say "PMS should reflect reality!"
22:27:56 <ulm>	I count 1a 6b
22:28:10 <ulm>	tanderson: that was my next point
22:28:15 <Betelgeuse>	ulm: Vote on >3.2 features will be reverted please
22:28:24 <ulm>	Betelgeuse: yep
22:28:55 <tanderson>	ulm: great, I would likely quit if people tried that one. :p
22:29:02 <Betelgeuse>	Calchan: Yes but being able to use 3.2 features is useful
22:29:08 <ulm>	"Should features of >=bash-4 be disallowed and reverted in the tree?"
22:29:09 <lu_zero>	I'm ok with reverting as well
22:29:32 <Calchan>	why not >3.2, just in case
22:29:35 <Betelgeuse>	Calchan: The only way of getting there without this that I know of is glep 55...
22:30:03 <ulm>	Calchan: hm, 3.2_p39 > 3.2
22:30:12 <ulm>	give me a proper version spec ;)
22:30:12 <leio>	or the many counter proposals of glep 55, but lets not go there
22:30:16 <Calchan>	Betelgeuse, agreed, but I still have a problem with people not respecting rules
22:31:31 <Betelgeuse>	Calchan: Nothing in our docs really teaches what's 3.2
22:31:31 <lu_zero>	Calchan rules must be clear
