Dec 13 14:23:20 <quantumsummers>	1. Roll Call
Dec 13 15:12:38 <dabbott>	so i end up forwarding them to home
Dec 13 15:12:55 <dabbott>	its just confusing for me
Dec 13 15:13:18 <dabbott>	not very organised :)
Dec 13 15:13:30 <quantumsummers>	can you setup your computers to grab it in both places?
Dec 13 15:14:23 <quantumsummers>	robbat2|na: can we just put the emails in a separate DB? I was thinking something like couch
Dec 13 15:14:30 <tsunam>	dabbott: imap is your friend, instead of pop3!
Dec 13 15:14:48 <quantumsummers>	if we can easily grab the emails & store them, we can build functionality we need around that
Dec 13 15:15:17 <antarus|wtf>	archives.g.o ?
Dec 13 15:15:32 <robbat2|na>	read-only IMAP account?
Dec 13 15:15:48 <robbat2|na>	last one kinda sucks for spam reasons
Dec 13 15:16:07 <quantumsummers>	config the client to leave stuff on the server
Dec 13 15:16:38 <quantumsummers>	antarus|wtf: this is the alias mail. does that get archived now?
Dec 13 15:16:57 <robbat2|na>	yes it does
Dec 13 15:17:13 <quantumsummers>	very nice. in what form is it stored?
Dec 13 15:17:14 <robbat2|na>	since september 08
Dec 13 15:17:25 <quantumsummers>	ah, I saw that email
Dec 13 15:17:53 <quantumsummers>	the recent discussion, that is of this
Dec 13 15:19:42 <robbat2|na>	can we move along further in the agenda? next is member applications
Dec 13 15:20:05 <robbat2|na>	(i like how council has assigned time limits to their agenda items)
Dec 13 15:20:21 <quantumsummers>	'tis nice
Dec 13 15:20:35 <quantumsummers>	let get Membership stuff in #6
Dec 13 15:20:42 <quantumsummers>	robbat2|na: Your items please
Dec 13 15:20:48 <quantumsummers>	Meeting Minutes Need Updating
Dec 13 15:20:51 <quantumsummers>	Rotating Sidebar Progress
Dec 13 15:20:57 <robbat2|na>	"# Meeting Minutes Need Updating"
Dec 13 15:21:22 <robbat2|na>	they've been kept up to date, but i'm wondering if we should remove the duplicate and confusing /minutes/ /minutes08/ /minutes09/
Dec 13 15:21:28 <robbat2|na>	and compress them all into the new format
Dec 13 15:21:39 <robbat2|na>	http://www.gentoo.org/foundation/en/minutes09/
Dec 13 15:21:40 <quantumsummers>	fine by me
Dec 13 15:21:55 <robbat2|na>	make that live at /minutes/ and populate it with all prior meetings 
Dec 13 15:22:26 <quantumsummers>	I like that idea very much
Dec 13 15:22:48 <dabbott>	robbat2|na, I can convert http://www.gentoo.org/foundation/en/minutes08/index.xml
Dec 13 15:22:56 <robbat2|na>	tsunam, NeddySeagoon: any comments on that from you?
Dec 13 15:23:13 <robbat2|na>	dabbott, i made some small scripts for it, so i'll batch-do it
Dec 13 15:23:14 <tsunam>	thats fine
Dec 13 15:23:19 <quantumsummers>	might be nice to reverse the date index, as in "newest first"
Dec 13 15:23:26 <robbat2|na>	ok, i'll reverse it too
Dec 13 15:23:36 <quantumsummers>	:)
Dec 13 15:23:41 <dabbott>	:)
Dec 13 15:23:50 <NeddySeagoon>	robbat2|na, as long as its east to extend and maintain, without downloading years worth of stuff I'm happy
Dec 13 15:24:04 <NeddySeagoon>	easy*
Dec 13 15:24:47 <NeddySeagoon>	that was why I was doing it by calander years
Dec 13 15:24:48 <robbat2|na>	NeddySeagoon, it's sub 2MB, so not really an issue, but i'll have directories anyway
Dec 13 15:24:56 <robbat2|na>	underneath /minutes/
Dec 13 15:25:11 <dabbott>	NeddySeagoon, it is easy to keep updated http://www.gentoo.org/foundation/en/minutes09/?passthru=1
Dec 13 15:25:12 <NeddySeagoon>	robbat2|na, think abouot in 10 or 20 years time
Dec 13 15:25:42 <quantumsummers>	that will just be a really long page :D
Dec 13 15:26:04 <robbat2|na>	i think neddy is more concerned with the actual size of the /minutes/ directoriy
Dec 13 15:26:21 <NeddySeagoon>	quantumsummers, thats why I was splitting things by tears
Dec 13 15:26:25 <NeddySeagoon>	years*
Dec 13 15:27:00 <robbat2|na>	i think by then our bandwidth will be fine. the council logs have been going for longer than ours and they don't have any problems with it
Dec 13 15:27:12 <NeddySeagoon>	robbat2|na, yeah - I like to keep pages small enough to fit on the screen without scrolling
Dec 13 15:27:38 <quantumsummers>	seems that it is unlikely to grow too fast
Dec 13 15:27:41 <robbat2|na>	ok, if you've got no objections to having all the stuff in one directory (I estimate 500kb logs/year)
Dec 13 15:27:58 <NeddySeagoon>	robbat2|na, I'm fine with it
Dec 13 15:28:00 <robbat2|na>	and in the newer format for the index page, the current stuff will always be near the top anyway
Dec 13 15:28:11 <NeddySeagoon>	robbat2|na, true
Dec 13 15:28:12 <quantumsummers>	perfect
Dec 13 15:28:20 <robbat2|na>	ok, so moving on
Dec 13 15:28:22 <robbat2|na>	sidebar
Dec 13 15:29:01 <robbat2|na>	i've mucked a bit with quantumsummers's code, i need to modify it a bit more and talk to neysx about better integration, but it should work out fine once I solve why gorg keeps locking up some webnodes
Dec 13 15:29:29 <robbat2|na>	however I would like us to come up with a consistent policy/requirements for the sponsors.xml and sidebar items
Dec 13 15:29:36 <NeddySeagoon>	robbat2|na, do you have a date ?
Dec 13 15:29:43 <tsunam>	robbat2|na: I would agree
Dec 13 15:29:52 <robbat2|na>	launch over christmas
Dec 13 15:30:05 <robbat2|na>	policy in regards to style and dimensions
Dec 13 15:30:26 <NeddySeagoon>	Sounds good - thats if our members endorse the break with tradition
Dec 13 15:30:29 <quantumsummers>	robbat2|na: if you need any assist with the code, lemme know
Dec 13 15:31:09 <robbat2|na>	sidebar: max width 125px, max height 125px, one link and not more than 50 characters of mouseover text
Dec 13 15:31:24 <NeddySeagoon>	and no moving images
Dec 13 15:31:49 <robbat2|na>	sponsors.xml: (no well defined image sizes yet), 60-100 words of text, split between the company and what they are offering gentoo
Dec 13 15:31:50 <quantumsummers>	robbat2|na: noted
Dec 13 15:32:34 <robbat2|na>	that's all from me
Dec 13 15:32:47 <quantumsummers>	any questions for Robin?
Dec 13 15:32:58 <NeddySeagoon>	none from me
Dec 13 15:33:19 <dabbott>	none here
Dec 13 15:33:42 <quantumsummers>	alright, moving to David
Dec 13 15:33:43 <quantumsummers>	dabbott  	Get Gentoo | Gentoo Stores
Dec 13 15:34:05 <dabbott>	Thats done http://www.gentoo.org/main/en/where.xml
Dec 13 15:34:19 <dabbott>	http://www.gentoo.org/main/en/stores.xml
Dec 13 15:34:46 <quantumsummers>	ah, you took out the image for g10
Dec 13 15:34:54 <NeddySeagoon>	can we just take down the 2008.0 release - its almost impossible to update now
Dec 13 15:35:28 <robbat2|na>	NeddySeagoon, read carefully, we only list it for architectures that don't have any other release
Dec 13 15:35:54 <robbat2|na>	if hppa/ppc/sparc want to start making weekly media
Dec 13 15:35:57 <robbat2|na>	we can take it down
Dec 13 15:36:32 <NeddySeagoon>	robbat2|na, hmm - how do those arches update portage and python ?
Dec 13 15:37:08 <robbat2|na>	NeddySeagoon, that's not needed
Dec 13 15:37:15 <robbat2|na>	they boot using the media listed, and use a current stage
Dec 13 15:37:24 <NeddySeagoon>	robbat2|na, Ah, ok
Dec 13 15:37:33 <quantumsummers>	ok, looks fine to me, though I did like that graphic...
Dec 13 15:37:45 <quantumsummers>	Next - Links Need Updating - dabbott
Dec 13 15:37:46 <robbat2|na>	NeddySeagoon, i can update the warning to state that if you'd like?
Dec 13 15:38:04 <dabbott>	quantumsummers, thats done
Dec 13 15:38:14 <quantumsummers>	ok great
Dec 13 15:39:04 <quantumsummers>	Emails Received and Status  - dabbott
Dec 13 15:39:08 <NeddySeagoon>	robbat2|na, we still get posters on the forums saying they have installed 2008.0 and can't update ... so it would be a good idea to state its only useful as a liveDVD
Dec 13 15:39:20 <quantumsummers>	+1
Dec 13 15:40:49 <NeddySeagoon>	Unfortunately, vendors are still selling it
Dec 13 15:42:10 <dabbott>	Emails Received and Status, I will start keeping a record and status
Dec 13 15:42:40 <quantumsummers>	NeddySeagoon: can you take over the meeting for a few mins, I have to attend to something.
Dec 13 15:42:42 <robbat2|na>	NeddySeagoon, where.xml updated now
Dec 13 15:42:52 <NeddySeagoon>	quantumsummers, ok
Dec 13 15:43:15 <robbat2|na>	it's time for neddy's items anyway
Dec 13 15:44:10 <NeddySeagoon>	As I cannot scan to PDF any more ... I thought I delegated the certificate at the last meeting ?
Dec 13 15:44:45 <NeddySeagoon>	NeddySeagoon I can print and scan ... but not to PDF format.  quantumsummers what about you as secy ?
Dec 13 15:44:45 <NeddySeagoon>	quantumsummers I can do it
Dec 13 15:44:45 <NeddySeagoon>	quantumsummers not a problem
Dec 13 15:44:56 <NeddySeagoon>	from the last meeting ^^^
Dec 13 15:46:00 <NeddySeagoon>	hes dun a runner ... lets move on
**** ENDING LOGGING AT Sun Dec 13 15:46:13 2009

**** BEGIN LOGGING AT Sun Dec 13 15:46:13 2009

Dec 13 15:46:13 <NeddySeagoon>	4. Open Bugs 
Dec 13 15:46:13 <robbat2|na>	I can print+scan, but i've also got my graphics tablet, so I could just scan directly and avoid the paper
Dec 13 15:46:45 <NeddySeagoon>	284224 Summer of Code changes in reimbursement 
Dec 13 15:47:05 <NeddySeagoon>	robbat2|na, lets wait to see if quantumsummers has already done it
Dec 13 15:47:25 <tsunam>	^^^ donnie got back to me/us
Dec 13 15:47:44 <tsunam>	should be taken care of by the end of the month
Dec 13 15:47:49 <NeddySeagoon>	tsunam, did antarus|wtf 'phone you?  he was trying to fill in a form
Dec 13 15:48:01 <tsunam>	and the money should be deposited directly to our bank account
Dec 13 15:48:03 <tsunam>	no he didn't call me
Dec 13 15:48:05 <NeddySeagoon>	tsunam, it has to be or we lose the money
Dec 13 15:48:30 <tsunam>	NeddySeagoon: understood but I'm not dealing with google directly so I'm relying on others for that
Dec 13 15:49:01 <antarus|wtf>	tsunam: thats good news
Dec 13 15:49:12 <antarus|wtf>	tsunam: I still rather curious where this odd address is
Dec 13 15:49:12 <NeddySeagoon>	tsunam, ok.  antarus|wtf was trying to fix our name and address - hence his reason to call you
Dec 13 15:49:31 <NeddySeagoon>	Grants ?
Dec 13 15:49:34 <tsunam>	and if we were doing it via check that would be needed
Dec 13 15:49:47 <tsunam>	antarus|wtf: can confirm with donnie if you'd like
Dec 13 15:50:00 <antarus|wtf>	well I mostly wanted to make sure no one else was screwing with our reimbursement ;)
Dec 13 15:50:16 <antarus|wtf>	but yes donnie needs to have a PO # from Google by Dec 31st, afaik
Dec 13 15:50:16 <NeddySeagoon>	antarus|wtf, so you have the info you need now ?
Dec 13 15:50:43 <tsunam>	NeddySeagoon: it sounds like antarus|wtf and donnie need to speak together and figure out who should move foward etc
Dec 13 15:50:45 <antarus|wtf>	well if Donnie is on top of it I'm not going to make a mess of things
Dec 13 15:51:05 *	antarus|wtf nods
Dec 13 15:51:09 <NeddySeagoon>	antarus|wtf, agreed.  Do you know that he is ?
Dec 13 15:51:19 <tsunam>	antarus|wtf: take your action item ;)
Dec 13 15:51:23 <antarus|wtf>	NeddySeagoon: nope, tsunam when did you hear from him last?
Dec 13 15:51:32 <tsunam>	a few days go
Dec 13 15:51:33 <tsunam>	sec
Dec 13 15:51:53 <tsunam>	incoming paste
Dec 13 15:51:54 <tsunam>	Joshua,
Dec 13 15:51:54 <tsunam>	A bit more info: I have registered to enroll the foundation as a
Dec 13 15:51:54 <tsunam>	Google supplier, which makes it qualified to sell stuff to Google. I
Dec 13 15:51:54 <tsunam>	have also requested a PO # from Google. I am waiting on the PO # to
Dec 13 15:51:57 <tsunam>	show up and cannot invoice them for payment until it does. As soon as
Dec 13 15:51:59 <tsunam>	I get the PO, I will send out the invoice. Once invoiced, it will take
Dec 13 15:52:02 <tsunam>	no longer than 30 days to receive payment via electronic funds
Dec 13 15:52:04 <tsunam>	transfer.
Dec 13 15:52:07 <tsunam>	Thanks,
Dec 13 15:52:09 <tsunam>	Donnie
Dec 13 15:52:10 <antarus|wtf>	ok that is sufficient for me
Dec 13 15:52:12 <tsunam>	that was thusday
Dec 13 15:52:12 <antarus|wtf>	thanks
Dec 13 15:52:20 *	quantumsummers returns ... sorry
Dec 13 15:52:48 <quantumsummers>	what shall we sell to google?
Dec 13 15:52:52 <quantumsummers>	;)
Dec 13 15:53:11 <NeddySeagoon>	looks ok to me
Dec 13 15:53:25 <quantumsummers>	NeddySeagoon: I forgot about the cert for rbu. its on my calendar now
Dec 13 15:53:40 <NeddySeagoon>	288626 [Gentoo 10 Live DVD] Vendor List 
Dec 13 15:53:41 <quantumsummers>	tsunam: +1
Dec 13 15:53:45 <NeddySeagoon>	quantumsummers, np
Dec 13 15:54:07 <dabbott>	Waiting for a new Gentoo 10 Live DVD iso to be released, less bugs, more support etc
Dec 13 15:54:41 <robbat2|na>	err, did we miss the "Trustee Mail" block on the agenda? w/ items "Donation and Vendor Advertising", "Selling CD's and DVD's"
Dec 13 15:55:06 <quantumsummers>	yes
Dec 13 15:55:09 <NeddySeagoon>	dabbott ok.  Did we get a response from the DVD vendor who was wanting a listing - we asked about a rate for 'bulk' for give aways
Dec 13 15:56:12 <dabbott>	yes that was Jason, he will work with us, I think he said 15% over cost
Dec 13 15:56:23 <NeddySeagoon>	I'm using the agenda linked from /topic   is that out of date ?
Dec 13 15:56:32 <robbat2|na>	my unofficial count for the referendum is 44 yes : 6 no.
Dec 13 15:56:37 <robbat2|na>	NeddySeagoon, refresh it maybe
Dec 13 15:56:58 <NeddySeagoon>	robbat2|na, that fixed it
Dec 13 15:57:15 <quantumsummers>	robbat2|na: w0w, that is a mandate
Dec 13 15:58:12 <NeddySeagoon>	Its still unoffcial as its not ratified by elections.   Its about a 25% and its a very positive response
Dec 13 15:58:21 <antarus|wtf>	mandate is a strong word... ;)
Dec 13 15:58:52 <quantumsummers>	:D
Dec 13 15:58:59 <antarus|wtf>	anyway I will flee now since the SOC stuff seems to be covered
Dec 13 15:59:07 <NeddySeagoon>	antarus|wtf, thanks
Dec 13 15:59:18 <quantumsummers>	antarus|wtf: thanks for assisting
Dec 13 16:00:00 <NeddySeagoon>	Donation and Vendor Advertising - needs the offcial result and some policy decisions on rates
Dec 13 16:00:08 <dabbott>	I think the members trust the current Trustees to not do anything dumb but as robbat2|na pointed out some quidelines need to be in place for the future
Dec 13 16:00:20 <tsunam>	AYE
Dec 13 16:00:24 <NeddySeagoon>	dabbott, agreed
Dec 13 16:00:25 <tsunam>	whoops caps
Dec 13 16:01:06 <tsunam>	that can be a discussion we have outside of a meeting though
Dec 13 16:01:12 <NeddySeagoon>	lets discuss guidelines on the alias.  We can reach a decision there too
Dec 13 16:01:12 <tsunam>	and just announce what the requirements are
Dec 13 16:01:13 <quantumsummers>	Motion: I propose we work on this policy via email to be released on 01 Jan
Dec 13 16:01:22 <robbat2|na>	aye
Dec 13 16:01:33 <dabbott>	yes
Dec 13 16:01:34 <NeddySeagoon>	aye
Dec 13 16:01:40 <quantumsummers>	I can provide some examples.
Dec 13 16:02:08 <quantumsummers>	robbat2|na: can we arrive at some price point equivalent to bogomips, any ideas?
Dec 13 16:02:24 <NeddySeagoon>	quantumsummers, OK.
Dec 13 16:02:34 <quantumsummers>	as that is what the code assumes .. well some normalized rating
Dec 13 16:02:39 <NeddySeagoon>	quantumsummers, to the list please
Dec 13 16:02:50 <quantumsummers>	:) -nfp?
Dec 13 16:02:53 <robbat2|na>	take it to email, because there is a wide disparity. i'll try to work out out what the existing people are doing in terms of both hardware and $ cost
Dec 13 16:03:21 <quantumsummers>	robbat2|na: ok. I can add some thoughts if you desire
Dec 13 16:03:28 <NeddySeagoon>	quantumsummers, to the alias first - then nfp once we are pretty much agreed
Dec 13 16:03:37 <quantumsummers>	ok. good
Dec 13 16:03:37 <NeddySeagoon>	Selling CD's and DVD's 
Dec 13 16:03:42 <jmbsvicetto>	robbat2|na: you're missing 2 votes in dev (may be invalid votes) and 3 votes by mail
Dec 13 16:04:06 <robbat2|na>	what shall we tell the current people waiting for an answer?
Dec 13 16:04:45 <robbat2|na>	i think even with 5 other votes, it still passes, so we can tell them it's tentatively accepted, and we'd like to see their initial submissions while we construct the requirements for sidebar
Dec 13 16:04:48 <NeddySeagoon>	I think we need a policy on this.  Like anyone doing this to make money needs our say so, anyone just covering costs need only acknowledge us
Dec 13 16:05:33 <NeddySeagoon>	robbat2|na, I agree that we have suffcient confidence to progress the matter
Dec 13 16:05:50 <quantumsummers>	Yes, we should work on converting the existing sponsors while we construct the policy, then once the items are in place we can approach the potential donors
Dec 13 16:05:54 <dabbott>	NeddySeagoon, I agree and have a page we can point them to explaining it like http://www.gentoo.org/main/en/name-logo.xml
Dec 13 16:05:57 <robbat2|na>	NeddySeagoon, for CD/DVD, i'm in favour of that policy for CDs/DVDs
Dec 13 16:06:05 <robbat2|na>	and be stricter on other merchandise
Dec 13 16:06:16 <NeddySeagoon>	robbat2|na yep
Dec 13 16:06:24 <dabbott>	robbat2|na, yes
Dec 13 16:06:33 <NeddySeagoon>	Do we need a vote on the CD/DVD policy ?
Dec 13 16:06:52 <dabbott>	sure
Dec 13 16:07:09 <quantumsummers>	I misread, please disregard my previous statement
Dec 13 16:07:45 <quantumsummers>	I like the policy NeddySeagoon proposes. Split on expectation of profits
Dec 13 16:08:15 <NeddySeagoon>	Motion - vendors selling media at or close to costs need only acknowledge the Gentoo Foundation.  Vendors selling media at a profit need our permission
Dec 13 16:08:28 <quantumsummers>	seconded
Dec 13 16:08:32 <NeddySeagoon>	Vote
Dec 13 16:08:34 <tsunam>	yes
Dec 13 16:08:34 <NeddySeagoon>	aye
Dec 13 16:08:38 <dabbott>	yes
Dec 13 16:08:40 <quantumsummers>	aye
Dec 13 16:08:41 <robbat2|na>	aye
Dec 13 16:08:58 <quantumsummers>	please define the acceptable margin
Dec 13 16:09:00 <NeddySeagoon>	Carried - It needs to get on the websire
Dec 13 16:09:13 <quantumsummers>	<2%?
Dec 13 16:09:22 <quantumsummers>	<5%?
