**** BEGIN LOGGING AT Sun Oct 11 12:00:02 2009

Oct 11 12:00:02 NeddySeagoon	hi quantumsummers dabbott robbat2|na 
Oct 11 12:08:33 quantumsummers	he did mention that the report was not finished yet
Oct 11 12:08:47 quantumsummers	banking is in good shape as far as I can tell
Oct 11 12:08:54 quantumsummers	we are fine there.
Oct 11 12:08:59 NeddySeagoon	hes due two.  this years and last years
Oct 11 12:09:10 quantumsummers	the $$ has been moved from the old netbank account to the new one
Oct 11 12:09:20 robbat2	iirc didn't we cover last years in a previous meeting?
Oct 11 12:09:36 quantumsummers	seems like we did. I thought last year as complete
Oct 11 12:09:37 NeddySeagoon	robbat2, only if it was the last meeting
Oct 11 12:09:56 NeddySeagoon	like I said, I have catching up to do
Oct 11 12:10:09 NeddySeagoon	just /ignore me :)
Oct 11 12:10:12 robbat2	lol, ok
Oct 11 12:10:23 robbat2	- Secretaries Report
Oct 11 12:10:26 robbat2	quantumsummers, your floor
Oct 11 12:10:58 quantumsummers	that was finished by the AGM, the report I mean.
Oct 11 12:11:11 quantumsummers	anything I am missing?
Oct 11 12:11:20 quantumsummers	we voted on its acceptance
Oct 11 12:11:55 quantumsummers	http://dev.gentoo.org/~quantumsummers/secretarys_report_2009.html
Oct 11 12:12:02 robbat2	I thought so too, not sure why it was on the agenda
Oct 11 12:12:06 robbat2	is it committed to CVS?
Oct 11 12:12:12 quantumsummers	I included the edits y'all asked for
Oct 11 12:12:20 quantumsummers	robbat2: I'll check on that
Oct 11 12:13:39 quantumsummers	yes it is committed
Oct 11 12:13:46 quantumsummers	err, wait
Oct 11 12:14:31 quantumsummers	it is not, I'll put it foundation/en/minutes09/2009 with the Pres report
Oct 11 12:14:43 quantumsummers	ah I recall why, I didn't xml-ify the doc
Oct 11 12:14:52 quantumsummers	will do that after the meeting
Oct 11 12:15:34 robbat2	ok, thanks
Oct 11 12:15:50 robbat2	- Certified Public Accountant
Oct 11 12:15:52 robbat2	you again quantumsummers
Oct 11 12:16:29 quantumsummers	yes, so I'm going to pass the report from tsunam to the cpa when its done
Oct 11 12:16:43 quantumsummers	it appears that we are in good shape re: taxes
Oct 11 12:17:12 quantumsummers	I think we will need to actually start paying a cpa sooner than later
Oct 11 12:17:17 NeddySeagoon	what about our filings ?
Oct 11 12:17:49 quantumsummers	with the IRS? we do not have to file since we made less than $25,000 USD
Oct 11 12:18:01 robbat2	assuming you mean the 501 stuff, we need the CPA and possibly SFLC for that
Oct 11 12:18:17 quantumsummers	the filing with NM is done
Oct 11 12:18:30 NeddySeagoon	quantumsummers, I thought we had to file now regardless of income ?
Oct 11 12:18:35 quantumsummers	I signed off on that over a month ago, & tsunam_ submitted
Oct 11 12:19:13 quantumsummers	NeddySeagoon: there in lies an interesting thing. We do not have to file, but when we move to 501c3 we will have to start
Oct 11 12:19:29 quantumsummers	hence my thinking on paying a CPA in hte near future
Oct 11 12:20:20 NeddySeagoon	Ah ok.  
Oct 11 12:20:26 robbat2	quantumsummers, can you provide the trustees with the cost details of doing so? potentially with the CPA you've already got?
Oct 11 12:20:28 quantumsummers	now, had one of us been getting paid for the work here we sould have to file
Oct 11 12:20:48 quantumsummers	robbat2: It will cost us around $1000 per year
Oct 11 12:21:02 quantumsummers	perhaps less, esp if they can write it off
Oct 11 12:21:10 robbat2	work = paid (by Gentoo), for (Gentoo dev) or (anything Gentoo)?
Oct 11 12:21:58 quantumsummers	an individual paid by gentoo, as an employee
Oct 11 12:22:14 quantumsummers	which we have none of (employees)
Oct 11 12:22:23 robbat2	ok, so if we start paying wages/salary/stipends, then we get fun paperwork
Oct 11 12:22:39 robbat2	so long as it's reimbursing hardware/mentor travel etc we're clear?
Oct 11 12:22:44 quantumsummers	pretty much. its not that bad, & the cpa would/could do it easily
Oct 11 12:22:52 NeddySeagoon	the bylaws say trustees don't get paid
Oct 11 12:23:03 quantumsummers	yes, we are safe with our current activities
Oct 11 12:23:30 quantumsummers	NeddySeagoon: correct, but if at some point we may want to hire an executive director, blah blah
Oct 11 12:23:59 NeddySeagoon	quantumsummers, yep ... he/she would be an officer, so no problem there
Oct 11 12:24:04 quantumsummers	exactly
Oct 11 12:24:07 robbat2	some of the other large community distros do have one or two employees as well, for running some of their things
Oct 11 12:24:17 quantumsummers	yes, that is common.
Oct 11 12:24:28 quantumsummers	we are very uncommon, it appears
Oct 11 12:24:42 NeddySeagoon	we can do that if we can afford it and we need it
Oct 11 12:24:57 robbat2	thanks for the clarification re paperwork.
Oct 11 12:25:02 quantumsummers	all non-profits I work with have both paid & unpaid staff
Oct 11 12:25:07 quantumsummers	save gentoo :)
Oct 11 12:25:13 robbat2	any more questions or issues re CPA?
Oct 11 12:25:20 NeddySeagoon	we are too small yet
Oct 11 12:25:24 quantumsummers	indeed
Oct 11 12:25:29 robbat2	quantumsummers, do you think we need a vote to ack having a paid CPA?
Oct 11 12:25:37 quantumsummers	yes
Oct 11 12:25:43 robbat2	ok
Oct 11 12:25:53 NeddySeagoon	now is when we go got 501 ?
Oct 11 12:25:54 quantumsummers	we do not need one until we have the status change with the IRS
Oct 11 12:26:16 quantumsummers	NeddySeagoon: I was not able to understand your sentence
Oct 11 12:26:25 robbat2	vote: Should Gentoo pursue a paid CPA at such a time that a CPA is needed for our 501 status change?
Oct 11 12:26:35 NeddySeagoon	do we need the vote now, or when we go for 501 ?
Oct 11 12:26:36 dabbott	yes
Oct 11 12:26:39 robbat2	aye
Oct 11 12:26:46 NeddySeagoon	yes
Oct 11 12:26:46 quantumsummers	aye
Oct 11 12:26:53 robbat2	motion passed
Oct 11 12:27:11 quantumsummers	good, thanks. I can make sure things are in place as we move forward
Oct 11 12:27:28 robbat2	NeddySeagoon, i worded it so that we can put off having one until we need it, as I don't think we need them immediately, but will soon when paperwork gets further
Oct 11 12:27:31 quantumsummers	of course you will know what is happening as its in process
Oct 11 12:27:40 NeddySeagoon	we need to compete the work so we can show an auitor we are getting value for money
Oct 11 12:27:59 NeddySeagoon	robbat2, I noticed
Oct 11 12:28:07 robbat2	any further questions re CPA?
Oct 11 12:28:20 quantumsummers	I have one
Oct 11 12:28:23 quantumsummers	sorry
Oct 11 12:28:36 robbat2	go for it
Oct 11 12:28:38 quantumsummers	do you have any issues with using the one we have currently
Oct 11 12:28:57 quantumsummers	or perhaps one recommended at a later date
Oct 11 12:29:08 quantumsummers	by, for example, the sflc
Oct 11 12:29:26 robbat2	you're the only one that's dealt with the present CPA I think, maybe see how busy they are
Oct 11 12:29:33 NeddySeagoon	quantumsummers, as we are getting the work unpaid now, no. eventually we will have to compete it to prove value for money
Oct 11 12:29:36 robbat2	or if the SFLC has somebody they already work with
Oct 11 12:29:44 quantumsummers	I can say, that unless we get one pro bono, it will be cheaper to stay with who we have
Oct 11 12:30:12 quantumsummers	NeddySeagoon: I am paying for it out of my pocket, more or less.
Oct 11 12:30:27 quantumsummers	just bundled it with all the other tax crud I have to deal with 
Oct 11 12:31:00 quantumsummers	as far as how busy, they are in fine shape to keep up with us
Oct 11 12:31:07 NeddySeagoon	quantumsummers, we need to be able to show we are using foundations money wisely, so we need a few quotes.
Oct 11 12:31:09 quantumsummers	we are tiny
Oct 11 12:31:16 quantumsummers	NeddySeagoon: yessir
Oct 11 12:31:37 quantumsummers	I can do some shopping around when the time comes
Oct 11 12:31:49 NeddySeagoon	quantumsummers, I have no problems not going with the lowest cost to keep continuity for a while
Oct 11 12:31:59 robbat2	+1 on the quotes, but unless they are widely out of whack, probably stay with the same, as a good working relationship like what quantumsummers already has is also valuable
Oct 11 12:32:05 *	quantumsummers knows several CPAs all over the place that work with 501c3s
Oct 11 12:32:21 quantumsummers	I would like it that the CPA is local to one of us
Oct 11 12:32:23 NeddySeagoon	robbat2, exactly
Oct 11 12:32:41 NeddySeagoon	quantumsummers, thats another consideration
Oct 11 12:32:42 quantumsummers	ok, good
Oct 11 12:32:56 quantumsummers	its very convenient to be able to visit personally
Oct 11 12:33:05 quantumsummers	err, in person
Oct 11 12:33:05 NeddySeagoon	+1 on that
Oct 11 12:33:08 dabbott	3 quotes, the lowest not automatic
Oct 11 12:33:22 NeddySeagoon	dabbott, yep
Oct 11 12:33:22 quantumsummers	sure, something like that is good
Oct 11 12:34:08 quantumsummers	ready to move to the next item?
Oct 11 12:34:29 robbat2	yup, fin on this one for me
Oct 11 12:34:35 robbat2	last call for more questions
Oct 11 12:34:58 robbat2	going once
Oct 11 12:35:10 robbat2	twice
Oct 11 12:35:30 robbat2	sold
Oct 11 12:35:32 quantumsummers	robbat2 the auctioneer :p
Oct 11 12:35:35 robbat2	next item:
Oct 11 12:35:38 robbat2	- Send friendly cease and desist emails to copyright infringers
Oct 11 12:35:43 robbat2	- New violation (linuxcd.org) ?
Oct 11 12:35:49 robbat2	quantumsummers, you yet again :-)
Oct 11 12:36:08 quantumsummers	alrighty. we have had success getting some of the cafepress people to stop.
Oct 11 12:36:35 NeddySeagoon	quantumsummers, well done
Oct 11 12:36:44 quantumsummers	talking with the sflc folks, we are in __no__ danger of losing our mark even if we do not actively pursue infringers
Oct 11 12:37:05 quantumsummers	however, I can devote some time to this
Oct 11 12:37:06 NeddySeagoon	... but we lose some of our income
Oct 11 12:37:11 quantumsummers	exactly
Oct 11 12:37:26 quantumsummers	so, w.r.t. the linuxcd people, I will contact them
Oct 11 12:37:32 quantumsummers	further
Oct 11 12:38:01 quantumsummers	if we do get a nice law firm, like the sflc, to assist us, it is highly unlikely that they would do much in this area for us
Oct 11 12:38:03 NeddySeagoon	thanks
Oct 11 12:38:10 quantumsummers	now
Oct 11 12:38:36 robbat2	NeddySeagoon, relatedly, what's the status with the new stores page, and the existing list of CD vendors?
Oct 11 12:38:44 quantumsummers	granted that we do achieve 501c3 soon, this perceived loss of income might become vanishingly small
Oct 11 12:38:53 NeddySeagoon	what happened to the Boston law firm.  Were we able to contct them ?
Oct 11 12:39:06 robbat2	negative
Oct 11 12:39:11 quantumsummers	I sent an email to somebody & never received a reply back
Oct 11 12:39:19 NeddySeagoon	robbat2, I've done nothing to in in 3 months 
Oct 11 12:39:24 quantumsummers	not sure if that person gone or what
Oct 11 12:39:46 quantumsummers	I can try again 
Oct 11 12:39:51 NeddySeagoon	robbat2, real life has been too busy.
Oct 11 12:39:59 quantumsummers	by emailing someone higher up in that office
Oct 11 12:40:21 robbat2	summarizing for a sec, no response from the boston firm, even if we do engage SFLC, we get to do more C&D work ourselves
Oct 11 12:40:27 NeddySeagoon	quantumsummers, don't bust a gut ... one one try then we'll leave it
Oct 11 12:40:34 quantumsummers	and I really need to make sure that I am CC-ing the alias on this stuff
Oct 11 12:40:49 NeddySeagoon	robbat2, yep.
Oct 11 12:40:52 quantumsummers	robbat2: yes
Oct 11 12:40:52 robbat2	NeddySeagoon, what's left on the new stores page? just merging the data and committing?
Oct 11 12:41:01 NeddySeagoon	robbat2, yes
Oct 11 12:41:03 robbat2	i'll take that over for you
Oct 11 12:41:36 NeddySeagoon	robbat2, thank you.  I won't have any time until about mid November
Oct 11 12:41:51 quantumsummers	very nice robbat2
Oct 11 12:42:12 robbat2	any questions re C&Ds?
Oct 11 12:42:14 robbat2	i've got one
Oct 11 12:42:20 quantumsummers	shoot :)
Oct 11 12:42:39 quantumsummers	read: ask away
Oct 11 12:43:17 robbat2	re CD vendors in general
Oct 11 12:43:22 robbat2	if they are selling Gentoo CDs
Oct 11 12:43:30 robbat2	even screen printed with the logo etc
Oct 11 12:43:39 robbat2	can we clearly lay out what they have to do?
Oct 11 12:43:55 robbat2	- trademark & copyright ack on the page
Oct 11 12:44:02 robbat2	^ selling page
Oct 11 12:44:04 robbat2	what else?
Oct 11 12:44:37 NeddySeagoon	they cannot sell CDs to make a profit ... thats anti GPL
Oct 11 12:44:38 quantumsummers	any disclainer?
Oct 11 12:44:47 robbat2	no, it's not anti-GPL
Oct 11 12:44:56 quantumsummers	gpl allows profit
Oct 11 12:45:01 NeddySeagoon	quantumsummers, every package comes with a disclaimer
Oct 11 12:45:26 quantumsummers	yes, ok
Oct 11 12:45:43 NeddySeagoon	lets think about this off line
Oct 11 12:45:50 robbat2	http://www.gnu.org/philosophy/selling.html <--- selling is fine
Oct 11 12:45:55 quantumsummers	the trouble with these resellers is that we have no idea if they are reporting honestly to us
Oct 11 12:46:31 quantumsummers	thus, it would be best if there were some way to ensure that reporting is honest
Oct 11 12:46:34 quantumsummers	& timely
Oct 11 12:47:05 robbat2	in a practical sense, that's mostly impossible I think
Oct 11 12:47:07 quantumsummers	afaict we have not received a payment from any of these resellers
Oct 11 12:47:15 quantumsummers	robbat2: I agree
Oct 11 12:47:40 quantumsummers	so, perhaps we can think of a better way to deal with these things
Oct 11 12:48:25 quantumsummers	like disallow reselling of merch. however there may be a cost prohibitive factor in there to think about regarding developing countries, etc
Oct 11 12:48:47 NeddySeagoon	lets do it on the -ml
Oct 11 12:48:49 robbat2	and it's outright illegal to prohibit resale in some countries
Oct 11 12:48:50 quantumsummers	ok
Oct 11 12:49:10 quantumsummers	interesting
Oct 11 12:49:42 robbat2	we're getting off topic with that, but for further details look at the autodesk/ebay resale/licensing issue
Oct 11 12:49:56 robbat2	also some of the high end fashion stuff on ebay
Oct 11 12:50:06 robbat2	back on CD vendors
Oct 11 12:50:10 quantumsummers	yes, that is an interesting debate
Oct 11 12:50:47 robbat2	IMO we should allow CDs if they are as we distribute the ISOs. the webpages and media should have relevant trademark/copyright notices on
Oct 11 12:51:00 robbat2	but beyond that, they can go for it
Oct 11 12:51:15 robbat2	merchandise we can keep a closer eye on
Oct 11 12:51:49 quantumsummers	fine by me in general, though we should not allow that in the US, Canada, & the EU, since we have a store for them to buy the disks from
Oct 11 12:52:04 quantumsummers	& the $$ from that supports the project
Oct 11 12:52:20 quantumsummers	even if its a little more pricey than some alternatives
Oct 11 12:52:41 robbat2	if and only if the store can get updated more reasonably
Oct 11 12:52:50 quantumsummers	I agree with that robbat2
Oct 11 12:53:12 robbat2	but if we're going to discuss the store itself in depth, per NeddySeagoon, push that to the list
Oct 11 12:53:17 quantumsummers	it would be niec if we could do a full package on cafepress for the dvds
Oct 11 12:53:29 quantumsummers	ok, to the -ml
Oct 11 12:53:42 dabbott	there are no open bugs for the store
Oct 11 12:54:06 quantumsummers	dabbott: since you have been working with the store, do we have the new dvd on there?
Oct 11 12:54:12 robbat2	last call for C&D questions
Oct 11 12:54:40 dabbott	we could if there was one to put up
Oct 11 12:55:10 quantumsummers	there is a new dvd
Oct 11 12:55:52 quantumsummers	dabbott: please open a bug about this, the gentoo-10 dvd should be available via the store
Oct 11 12:56:08 dabbott	ok
Oct 11 12:56:14 quantumsummers	thanks
Oct 11 12:56:22 quantumsummers	no more C&D?
Oct 11 12:56:25 robbat2	once
Oct 11 12:56:30 robbat2	twice
Oct 11 12:56:40 robbat2	done
Oct 11 12:56:49 robbat2	- SFLC Engagement Letter
Oct 11 12:57:09 robbat2	it didn't have anybody attached to it on the agenda
Oct 11 12:57:25 quantumsummers	IMO, we should be unanimous on this.
Oct 11 12:57:43 quantumsummers	It does look like the best option we have now.
Oct 11 12:57:44 NeddySeagoon	The questions I had were answered to my satisfaction.  I'm OK with it.
Oct 11 12:57:51 quantumsummers	ok, good.
Oct 11 12:58:10 quantumsummers	robbat2, dabbott do you guys have any reservations?
Oct 11 12:58:22 quantumsummers	for the record, I do not.
Oct 11 12:58:33 robbat2	i've got no concerns myself, but tsunam_ said he wanted to listen to the recording
Oct 11 12:58:42 robbat2	and didn't leave any comments about his views
Oct 11 12:58:49 NeddySeagoon	I don't like the single point of contact but if the correspondence ends up in our knowledge base, its manageable
Oct 11 12:59:07 quantumsummers	we should just make sure that the alias is CC'ed
Oct 11 12:59:12 dabbott	no, and as it was explained we can get out if we want to in the future
Oct 11 12:59:19 quantumsummers	yes
**** BEGIN LOGGING AT Sun Oct 11 13:00:00 2009

Oct 11 13:00:00 NeddySeagoon	I'm happy to give it a 12 month trial
Oct 11 13:00:17 quantumsummers	Motion: The board shall vote via email to accept the engagement, since Josh is absent.
Oct 11 13:00:27 NeddySeagoon	Seconded
Oct 11 13:00:28 robbat2	aye
Oct 11 13:00:33 NeddySeagoon	aye
Oct 11 13:00:33 dabbott	yes
Oct 11 13:00:39 quantumsummers	aye
Oct 11 13:00:42 robbat2	passed
Oct 11 13:00:58 robbat2	- Foundation Knowledge Management Needs - quantumsummers
Oct 11 13:01:12 robbat2	err, that is if there are no SFLC questions
Oct 11 13:01:14 robbat2	i don't think there are
Oct 11 13:01:19 quantumsummers	not from me
Oct 11 13:01:54 quantumsummers	alright, the KM stuff.
Oct 11 13:02:03 quantumsummers	So, I have redesigned the entire system
Oct 11 13:02:17 quantumsummers	we are re-launching in about 4 weeks
Oct 11 13:02:33 quantumsummers	its a multi user project based system.
Oct 11 13:02:56 quantumsummers	I have a variety of instruments setup for us to collect data with
Oct 11 13:03:04 quantumsummers	we can do our accounting in there
Oct 11 13:03:10 quantumsummers	it has full text search 
Oct 11 13:03:18 robbat2	double-entry bookkeeping?
Oct 11 13:03:22 quantumsummers	so I would like to put the entire history of the alias in there
Oct 11 13:04:10 quantumsummers	robbat2: I am really not sure what double entry is, its rather simple in design, made for small orgs, not corps
Oct 11 13:04:29 quantumsummers	my father was a corp accountant for 35 years, he helped me design the thing
Oct 11 13:04:49 quantumsummers	apparently its a good way to do things, though I have no real basis for comparison
Oct 11 13:05:10 quantumsummers	test it out, we don;t have to use it if it sucks,
Oct 11 13:05:20 quantumsummers	& if it sucks I'll redesign it
Oct 11 13:05:23 quantumsummers	to not suck
Oct 11 13:05:32 robbat2	each accounting entry is at least 2 accounts, with the + and - values zeroing out
Oct 11 13:05:58 quantumsummers	ah, I see. it is not like that
Oct 11 13:06:06 quantumsummers	you have a transaction
Oct 11 13:06:13 quantumsummers	+ or -
Oct 11 13:06:27 quantumsummers	perhaps its too basic
Oct 11 13:06:41 robbat2	nice example of double-entry (using the Ledger app)
Oct 11 13:06:42 quantumsummers	regardless, take a look & tell me your thoughts
Oct 11 13:06:43 robbat2	         Expenses:Utilities:Phone                   $23.00
Oct 11 13:06:43 robbat2	         Assets:Checking                           $-23.00
Oct 11 13:06:52 robbat2	the second value can actually be implicit
Oct 11 13:07:00 quantumsummers	now, it will do that stuff
Oct 11 13:07:08 quantumsummers	you just have to enter things once though
Oct 11 13:07:15 quantumsummers	via a simple form
Oct 11 13:07:29 quantumsummers	that is customizable to the needs of the group
Oct 11 13:07:40 robbat2	i explicitly said zeroing out, because there's some transactions that are actually 3 accounts when you have to track taxes
Oct 11 13:08:33 quantumsummers	right, it gets more complicated as you have divisions, etc. but I think its a nice little system, we can have cheesy reports in a click too
Oct 11 13:08:37 robbat2	but it sounds like it's close
Oct 11 13:08:49 robbat2	so when can we get accounts :-)
Oct 11 13:08:51 quantumsummers	should be, happy to take critisim too
Oct 11 13:09:00 quantumsummers	no patches please ;)
Oct 11 13:09:30 quantumsummers	yep, I can setup a preview maybe next week, our dev server crapped out on me
Oct 11 13:09:40 robbat2	accounts for the test runs, and then I can help you deploy it on infra boxes
Oct 11 13:10:36 quantumsummers	we can discuss that in full at a later point, but I think it will be a useful thing for us
Oct 11 13:10:37 robbat2	dabbott, NeddySeagoon: any questions re KM?
Oct 11 13:10:45 NeddySeagoon	robbat2, nope
Oct 11 13:10:57 dabbott	noone here
Oct 11 13:11:05 quantumsummers	ah, please email me if you have ideas about things like some thing you wish to collect data on, etc
Oct 11 13:11:52 quantumsummers	moving on?
Oct 11 13:12:02 robbat2	- Meeting Minutes Need Updating
Oct 11 13:12:17 *	quantumsummers hides
Oct 11 13:12:23 robbat2	we've been slacking on updating the foundation webpages
Oct 11 13:12:51 dabbott	I can help with that.
Oct 11 13:13:00 NeddySeagoon	should we drop summaries - the logs are not very long anayway ?
Oct 11 13:13:11 dabbott	yes
Oct 11 13:13:23 robbat2	make the summaries optional
Oct 11 13:13:34 robbat2	i've got a rough one while i've been chairing this
Oct 11 13:13:40 robbat2	mainly of action items and notes
Oct 11 13:13:41 NeddySeagoon	ok
Oct 11 13:14:06 quantumsummers	something like that, robbat2, could go to the -ml or something
Oct 11 13:15:05 quantumsummers	in addition, I think I'm finally going to have some interns again. Perhaps we could have one of them do the notes. That is, unless dabbott wants to do it.
Oct 11 13:15:09 robbat2	question I have, is should we re-arrange the minutes etc?
Oct 11 13:15:22 quantumsummers	good question
Oct 11 13:15:28 quantumsummers	that is a mess atm
Oct 11 13:15:34 quantumsummers	needs clean up
Oct 11 13:15:53 quantumsummers	needs a new index page that links in the sub indexes for each year
Oct 11 13:16:03 quantumsummers	that way it would be modular
Oct 11 13:16:29 quantumsummers	of course, that is just an idea.
Oct 11 13:16:45 *	quantumsummers is quite happy to entertain others
Oct 11 13:17:10 dabbott	are all the minutes stored in a folder somewhere?
Oct 11 13:17:11 quantumsummers	robbat2: since you are the sysadmin guru. what are your thoughts on a nice schema for this?
Oct 11 13:17:17 *	NeddySeagoon made it the way it is now in a hurry, to try to keep things managable
Oct 11 13:17:50 quantumsummers	dabbott: yes, well sort of. can you do a checkout of the foundation web space?
Oct 11 13:17:52 robbat2	we should rm the old /minutes/ after we make sure all the data is duplicated
Oct 11 13:18:19 robbat2	do we not have minutes from the previous trustees at all?
Oct 11 13:18:25 robbat2	it only seems to go back to 2008
Oct 11 13:18:48 quantumsummers	from what I know, the previous board did not even have formal meetings
Oct 11 13:18:57 NeddySeagoon	robbat2, not that I'm aware of.  Only the AGM is required by NM lay
Oct 11 13:19:01 NeddySeagoon	law*
Oct 11 13:19:01 quantumsummers	or they were rare
Oct 11 13:19:09 robbat2	fun, no logs of the AGMs even?
Oct 11 13:19:22 quantumsummers	there is a huge amount of mail, perhaps something is in there.
Oct 11 13:19:29 NeddySeagoon	robbat2, nothing that I am aware of
Oct 11 13:19:33 quantumsummers	why I want to get a text index running on that
Oct 11 13:19:44 quantumsummers	robbat2: do you have the mail tarball?
Oct 11 13:19:47 robbat2	no i don't
Oct 11 13:19:51 NeddySeagoon	quantumsummers, I onlu have mail from March 2008
Oct 11 13:19:53 robbat2	i wasn't aware there was one
Oct 11 13:20:01 robbat2	i'd love a copy
Oct 11 13:20:10 robbat2	for the stuff that was on the alias
Oct 11 13:20:25 quantumsummers	someone emailed me a huge tarball when I was added as Sec
Oct 11 13:20:35 quantumsummers	I'll send it too you robbat2
Oct 11 13:20:37 NeddySeagoon	I can tar up my alias stuff, which goes back to 2008
Oct 11 13:20:38 robbat2	thanks
Oct 11 13:20:49 NeddySeagoon	quantumsummers, that was me
Oct 11 13:20:59 quantumsummers	I thought that was all the old stuff
Oct 11 13:21:10 quantumsummers	there were like 10000 emails in there
Oct 11 13:21:11 robbat2	so another action item for me, is probably to come up with re-arranging the minutes, agendas and existing summaries
Oct 11 13:21:20 NeddySeagoon	Nope, from when I was added to the alias
Oct 11 13:21:26 dabbott	there are 5 logs from 2009 in /minutes/2009
Oct 11 13:22:02 robbat2	dabbott, there's /minutes/, /minutes09/ and /minutes08/
Oct 11 13:22:47 dabbott	why
Oct 11 13:22:50 NeddySeagoon	 /minutes/ is the main index page, pointing to   /minutes09/ and /minutes08/
Oct 11 13:22:51 quantumsummers	lol
Oct 11 13:23:16 robbat2	NeddySeagoon, no, it's not
Oct 11 13:23:26 robbat2	the toplevel foundation page points only to /minutes0{8,9}/
Oct 11 13:23:36 robbat2	 /minutes/ is the old page
Oct 11 13:24:01 NeddySeagoon	robbat2, hmm, if there is useful stuff there, I screwed up
Oct 11 13:24:14 robbat2	i'll probably clean it up like the council ones, I think there's some XSL to do it nicely already
Oct 11 13:24:39 quantumsummers	robbat2: I sent that to you
Oct 11 13:24:40 robbat2	(date) (type) (agenda) (log) (summary) (comments)
Oct 11 13:24:53 quantumsummers	you rejected me
Oct 11 13:24:55 robbat2	^^^ table with the above
Oct 11 13:25:06 NeddySeagoon	robbat2, the council page will get very long in a few years, thats why I used years as subfolders
Oct 11 13:25:25 robbat2	i've got no objections to the subfolders, just need to check for duplication
Oct 11 13:25:36 robbat2	i'll work on it
Oct 11 13:25:58 robbat2	http://www.gentoo.org/proj/en/council/ <-- look at that existing one for example
