Feb 05 19:00:21 <tseng>	sure, here we go.
Feb 05 19:11:30 <esammer>	but most of this i covered with the design overview
Feb 05 19:12:31 <esammer>	we'll get into questions about specific features at the end, but suffice it to say, it's multi front ends, automated deployment, full arch support, reusable back end, customization of steps and process, and more
Feb 05 19:13:04 <esammer>	we also just spoke briefly about l10n support in the UIs. this is a greater issue which we can cover in QA
Feb 05 19:13:25 <esammer>	moving on (unless i've missed something)
Feb 05 19:13:45 <danarmak>	do you mean we won't discuss l10n today?
Feb 05 19:14:01 <tseng>	discussion is last.
Feb 05 19:14:07 <esammer>	danarmak: the specific implementation, not right now. we can in QA.
Feb 05 19:14:20 <danarmak>	er...
Feb 05 19:14:26 <danarmak>	QA as questions/answers?
Feb 05 19:14:30 <esammer>	yes
Feb 05 19:14:34 <danarmak>	sorry, misunderstood. please continue.
Feb 05 19:14:41 <esammer>	ok.
Feb 05 19:14:51 <esammer>	in terms of publicity, we've been a little quiet.
Feb 05 19:15:07 <esammer>	this is mainly because this is a hot spot of discussion for a lot of people
Feb 05 19:15:18 *	tigger^ coughs
Feb 05 19:15:35 <esammer>	we wanted to get an initial design done so that we can answer questions as fast as we know they'll be asked.
Feb 05 19:16:19 <esammer>	we do NOT want to remove flexibility from anyone which is a major (and justified) concern and we wanted to figure out how to accomplish that before the onslaught of questions
Feb 05 19:16:55 <esammer>	now that we have a semi functional design and a team in place, we will start on a very rough prototype to show people.
Feb 05 19:17:27 <esammer>	this prototype should be semi working when we announce to GWN and gentoo.org so people can SEE an example of the design in action.
Feb 05 19:18:21 <esammer>	hopefully, this prototype shouldn't take too long (2 - 4 weeks, *maybe*)
Feb 05 19:18:30 <esammer>	but i don't want to commit to a date
Feb 05 19:19:10 <esammer>	after this is done, we will open it up to the full community at which point we'll integrate comments and suggestions
Feb 05 19:19:32 <esammer>	and by full, i mean users and devs (GWN, gentoo.org news, etc.)
Feb 05 19:19:52 <esammer>	tseng: anything else wrt this?
Feb 05 19:20:05 <karltk>	esammer: main web home
Feb 05 19:20:09 <karltk>	esammer: "project pages"
Feb 05 19:20:20 <tseng>	the mailing list and here will be where the action happens
Feb 05 19:20:31 <tseng>	but milestones etc will be made more public
Feb 05 19:20:46 <esammer>	we do have the list and the project pages in place as a beginning for those interested.
Feb 05 19:20:52 <esammer>	right.
Feb 05 19:21:11 <esammer>	anything else?
Feb 05 19:21:24 <tseng>	i dont think.
Feb 05 19:21:42 <esammer>	ok. the initial delegation of tasks.
Feb 05 19:22:11 <esammer>	we already have a few coders, as well as documentation and advisers.
Feb 05 19:22:13 <spy|lab>	i'll sit back and take credit for your hard work.
Feb 05 19:22:20 <esammer>	heh
Feb 05 19:22:50 <esammer>	i think we might want to wait until we get to recruitment / getting involved as we'll hopefully have more names in the proverbial hat
Feb 05 19:23:04 spyderous spy|lab Feb 05 19:23:05 <tseng>	esammer, could you lay out an idea of what needs done breifly
Feb 05 19:23:11 <esammer>	sure.
Feb 05 19:23:13 <tseng>	and we can tentatively put names to it
Feb 05 19:23:28 ---	pauldv|away is now known as pauldv
Feb 05 19:24:21 <esammer>	currently, we have tseng, klieber, spyderous, and pauldv, and myself doing design and adviser work. karltk, npmccallum, and myself are coding. blackace has been doing our docs with tseng (iirc).
Feb 05 19:24:30 <esammer>	design has mostly been a group effort
Feb 05 19:24:40 <esammer>	we need more coders, imo.
Feb 05 19:25:01 <esammer>	we also have danarmak and dams that have been helping
Feb 05 19:25:03 <karltk>	esammer: I don't think the prototype phase is the best period to add coders.
Feb 05 19:25:13 <johnm>	I dont think youll have any problems in that respect, and you need not worry. (sorry please continue)
Feb 05 19:25:30 <karltk>	esammer: most certainly we will need more coders as the initial implementation has stabilised.
Feb 05 19:25:31 <esammer>	karltk: it's possible you're correct. that is something we need to figure out
Feb 05 19:25:41 <esammer>	johnm: i think you're right
Feb 05 19:25:45 <esammer>	right
Feb 05 19:25:47 <tseng>	both very good points.
Feb 05 19:26:12 <esammer>	in case i glazed over it, implementation is python and some shell magic
Feb 05 19:26:38 <tigger^>	esammer: I assume python will be put on the livecd?
Feb 05 19:26:46 <esammer>	tigger^: that's a good question.
Feb 05 19:26:59 <tigger^>	assuming it isn't already, I didn't think it was
Feb 05 19:27:04 <esammer>	there was talk of that or a custom live cd with the stuff needed for the installer
Feb 05 19:27:09 <karltk>	tigger^: how can portage work without python?
Feb 05 19:27:18 <tigger^>	karltk: portage doesn't need to
Feb 05 19:27:25 <pauldv>	tigger^: I don't think it is a big problem to add it
Feb 05 19:27:25 <tigger^>	karltk: portage is in the tarball remember?
Feb 05 19:27:26 <johnm>	tigger^: it isnt. it may also rais ean issue of what UI languages can be used (python hooks)
Feb 05 19:27:30 <iggy>	it is on the livecd's
Feb 05 19:27:30 <danarmak>	portage isn't on the livecd, it's in the stage tarball
Feb 05 19:27:31 <esammer>	karltk: i think python is only in the *stages* not the livecd
Feb 05 19:27:38 <karltk>	tigger^: ah, mea culpa.
Feb 05 19:27:58 <tseng>	this problem will quickly solve itself if we have a finished product and a need for python
Feb 05 19:28:03 <iggy>	I just checked, it is on the livecd's
Feb 05 19:28:04 <tigger^>	pauldv: me neither really, just saying
Feb 05 19:28:12 <esammer>	iggy: python is?
Feb 05 19:28:20 <iggy>	esammer: yes
Feb 05 19:28:21 <johnm>	iggy: thats one less issue.
Feb 05 19:28:26 <spy|lab>	that's odd. wonder why.
Feb 05 19:28:27 <esammer>	ok. that answers that.
Feb 05 19:28:27 <karltk>	johnm: that's livecd-specific. whatever gentoo users for their official livecds may not be the desired choice for people using catalyst to build their own livecds
Feb 05 19:28:38 <iggy>	python2.2 if it matters
Feb 05 19:28:48 <karltk>	iggy: it does. and 2.2 is good enough:)
Feb 05 19:28:55 <johnm>	iggy: the range of languages able to be used as a UI may still have an impact. but minimal I'm sure
Feb 05 19:28:59 <npmccallum>	we'll also need more modules, but these are all implementation details
Feb 05 19:29:20 <karltk>	npmccallum: actually, it would affect the roadmap.
Feb 05 19:29:41 <esammer>	obviously, a live cd that doesn't have a full X environment limits the UIs available so that will be another issue. we'll need to work with the releng team (corect?) to find out what we can do here. and no, X won't be on every live cd because of this.
Feb 05 19:29:51 <karltk>	if the sooner we can have a good idea of the installer core and specify the module interfaces, the sooner we can put more people to work on the various plugin modules in parallell
Feb 05 19:30:14 <karltk>	if the/the
Feb 05 19:30:26 <esammer>	ok. so this is something that has to be worked on.
Feb 05 19:30:58 <johnm>	And my appologies for interrupting once more, but just in case it hasnt been thought of in design, we should leave opportunity for portage-ng support.
Feb 05 19:31:10 <npmccallum>	esammer: what are you referring to by "this", coordinating with the releng team?
Feb 05 19:31:49 <esammer>	npmccallum: the releng team controls what's on the live cd, iirc, which will affect what UI support the installer will have
Feb 05 19:32:46 <npmccallum>	esammer: right, I'm just trying to understand what to put on the TODO list :)
Feb 05 19:32:48 <esammer>	either way, the base back end can be worked on before this is decided. this will affect the roadmap though, as karltk said, so it should be looked into quickly.
Feb 05 19:32:54 <spy|lab>	although the ability for anyone to build their own livecds should have a big effect on that.
Feb 05 19:33:01 spyderous spy|lab Feb 05 19:33:03 <esammer>	spy|lab: yes
Feb 05 19:34:01 <esammer>	npmccallum: just put down that we need to figure out what is required of the live cd, if it can be the regular live cd and if a custom live cd is required
Feb 05 19:34:35 <esammer>	in the interest of time, i'm going to move along. this isn't going to be decided right now.
Feb 05 19:35:53 spyderous spy|lab Feb 05 19:36:02 <--	acidfunk has quit ("ACAB")
Feb 05 19:36:25 <esammer>	to cover tasks again, quickly - karltk, npmccallum, myself coding. blackace documentation. project pages tseng & spy|lab? advisers - everyone else. design community and karltk & myself will coordinate it
Feb 05 19:36:30 <esammer>	is this acceptable?
Feb 05 19:36:34 <--	tigger^ (~rob@smtp.gentoo.org) has left #gentoo-installer
Feb 05 19:36:43 <tseng>	yes.
Feb 05 19:36:50 <esammer>	ok.
Feb 05 19:36:53 <spy|lab>	yep.
Feb 05 19:37:07 <esammer>	release cycles and practices
Feb 05 19:37:22 <pauldv>	esammer: sounds ok to me
Feb 05 19:37:34 <esammer>	are we ok with following a XP style system where we code, test, release every X days?
Feb 05 19:37:47 <esammer>	s/days/<measure of time>/
Feb 05 19:38:12 <tseng>	maybe target that, but also try and put out a decent snapshot?
Feb 05 19:38:22 <tseng>	a little flexible of the time
Feb 05 19:38:29 <esammer>	tseng: right, with snapshots at the end of each cycle
Feb 05 19:38:43 <johnm>	esammer: I prefer the gnome/mozilla style releases. although initially, days->weeks seems quite alright to me.
Feb 05 19:38:46 <danarmak>	how stable/complete or alternatively WIP will such releases be? what are you willing to release? will there be a latest-stable and latest-dev release?
Feb 05 19:38:46 <esammer>	we can release snapshots if we pass a milestone or something
Feb 05 19:39:05 <karltk>	esammer: yes, xp lends itself extremely well to prototyping projects
Feb 05 19:39:44 <karltk>	esammer: I've run a few commercial prototyping projects using xp, and the good thing is that you always have a running prototype (after the initial release) that you can point people to.
Feb 05 19:39:45 <spy|lab>	i'd suggest a bimonthly snapshot, say the 15 and 30
Feb 05 19:39:49 <esammer>	danarmak: i think we'll have unstable (could be broken) snapshots and maybe milestone snapshots that are semi stable initially
Feb 05 19:40:04 <esammer>	karltk: that's what i was thinking as well
Feb 05 19:40:06 <spy|lab>	then manual snapshots in addition to that when we feel it'd be useful
Feb 05 19:40:40 <esammer>	as long as each snapshot isn't broken or dangerous, the more often for testing, the better.
Feb 05 19:40:45 <esammer>	imo, that is
Feb 05 19:41:33 <esammer>	we'll decide the frequency as we see how the code initially develops, but let's plan on very short cycles to allow for a lot of feedback and community review
Feb 05 19:41:55 <esammer>	is this ok?
Feb 05 19:42:04 <karltk>	sounds good to me.
Feb 05 19:42:11 <esammer>	ok.
Feb 05 19:42:25 <pauldv>	I think the most important thing is to start with one frontend only. You will probably need to review design so each frontend adds duplicate efforts when things change
Feb 05 19:42:37 <esammer>	pauldv: this is true.
Feb 05 19:42:53 <tseng>	before any frontend there has to be a begining of the api
Feb 05 19:43:13 <tseng>	we already discussed starting with the kickstart-style frontend after this is in place
Feb 05 19:43:22 <karltk>	pauldv: the various frontends will hopefully be "just" as any other pluggable module.
Feb 05 19:43:34 -->	z3b (~z3b@p213.54.31.103.tisdip.tiscali.de) has joined #gentoo-installer
Feb 05 19:43:43 <esammer>	if we can start with a back end that takes a profile and runs with it, i'd be happy.
Feb 05 19:43:59 <pauldv>	karltk: I know, that's why you can delay creating them until you are fairly certain that the interface/api is stable
Feb 05 19:44:06 <tseng>	you need a tiny bit of user intereaction here
Feb 05 19:44:24 <tseng>	for the standalone, which is why that will be first out..
Feb 05 19:45:01 <karltk>	pauldv: exactly.
Feb 05 19:45:02 <esammer>	ok. so we'll start with something that is probably just a profile parser and hands off for execution to the api (back end)
Feb 05 19:45:35 <esammer>	we'll develop each front end as appropriate when the api becomes stable(ish)
Feb 05 19:45:54 <esammer>	although it's probably easier to start with text based UIs
Feb 05 19:46:16 <esammer>	in terms of resources
Feb 05 19:46:34 <esammer>	i think we have everything we need right now - project page, cvs access, lists, irc, etc.
Feb 05 19:46:37 <esammer>	are we missing anything?
Feb 05 19:47:16 <esammer>	i suppose that's a "no." :)
Feb 05 19:47:24 <esammer>	i'll move on then...
Feb 05 19:47:33 <karltk>	yes, a bug repository
Feb 05 19:47:39 <esammer>	karltk: good call.
Feb 05 19:47:41 <klieber>	bugs.g.o?
Feb 05 19:47:58 <esammer>	can we get a product in bz or something similar?
Feb 05 19:48:04 <karltk>	klieber: that's good enough, if we can get our own "module" or whatever it's called in bugzilla:)
Feb 05 19:48:15 <klieber>	I have connections...I'll see what I can do.
Feb 05 19:48:26 <esammer>	klieber: cool. that would be very helpful
Feb 05 19:48:27 <karltk>	klieber: (lol), that's good.
Feb 05 19:48:51 <esammer>	anything else?
Feb 05 19:49:14 <karltk>	esammer: we may want to add an installer-specific bugreport tool early on, to avoid having people litter the other products with installer-specific bugs
Feb 05 19:49:30 <esammer>	karltk: sure. that's fine.
Feb 05 19:49:31 <npmccallum>	we don't have a general link to our project page from the "projects" page
Feb 05 19:49:37 <npmccallum>	but that is small
Feb 05 19:49:45 <spy|lab>	that's because it isn't top-level
Feb 05 19:50:09 <karltk>	the desire for a proper project directory on g.o. is a different debate, I think:)
Feb 05 19:50:24 <spy|lab>	where we do need a link is off the releng index, drobbins
Feb 05 19:50:38 <npmccallum>	yeah
Feb 05 19:51:15 <klieber>	ok, small issue with the bugzilla thing...
Feb 05 19:51:18 <esammer>	ok. someone can look into that, but i think we'll only really need that when we start announcing to the entire community
Feb 05 19:51:19 <tseng>	npmccallum: add bugzilla + releng link
Feb 05 19:51:29 <npmccallum>	already done
Feb 05 19:51:32 <tseng>	:)
Feb 05 19:51:35 <esammer>	klieber: what's that?
Feb 05 19:51:39 <klieber>	I guarantee that if I create a new bz product called "installer" you guys will be the proud new parents of any/all install related bugs.
Feb 05 19:51:48 <klieber>	"I can't partition my hard drive. waaahhhh!!!"
Feb 05 19:51:48 <mut3x>	heh
Feb 05 19:52:09 <klieber>	so do you want to have another name?
Feb 05 19:52:16 <npmccallum>	GLI?
Feb 05 19:52:17 <esammer>	ok. is anyone opposed to something like "GLI"
Feb 05 19:52:19 <esammer>	heh
Feb 05 19:52:20 <karltk>	"chickenpoop"
Feb 05 19:52:27 <esammer>	karltk: no.
Feb 05 19:52:33 <esammer>	:)
Feb 05 19:52:35 <tseng>	klieberismydaddy
Feb 05 19:52:41 *	klieber coughs
Feb 05 19:52:46 <klieber>	how about GLI :)
Feb 05 19:52:52 <tseng>	that works too..
Feb 05 19:52:56 <esammer>	klieber: that's fine.
Feb 05 19:52:58 <npmccallum>	GLI it is...
Feb 05 19:52:59 <karltk>	GLI is suitably obscure
Feb 05 19:53:25 <tseng>	then wranglers can move stuff there as needed.
Feb 05 19:53:27 <pauldv>	esammer: please bug seemant about adding the installer subproject as a subproject on the releng project page
Feb 05 19:53:34 <spy|lab>	so obscure that people won't know to file it in that category
Feb 05 19:53:37 <esammer>	pauldv: will do.
Feb 05 19:53:55 <klieber>	spy|lab: there is a one-sentence description as well :P
Feb 05 19:54:26 <spy|lab>	klieber: "File all GLI-related bugs here."
Feb 05 19:54:46 <klieber>	heh
Feb 05 19:54:50 <esammer>	ok - is anyone opposed to regular (if only informal) meetings?
Feb 05 19:55:02 <karltk>	that's probably a good idea.
Feb 05 19:55:08 <esammer>	or should i call them "review points"?
Feb 05 19:55:15 <spy|lab>	weekly?
Feb 05 19:55:19 <esammer>	(as to not offend corporate types)
Feb 05 19:55:40 <esammer>	in terms of frequency, it should probably coincide with coding and snapshots
Feb 05 19:55:43 <esammer>	or testing
Feb 05 19:55:48 <klieber>	do we need meetings?
Feb 05 19:55:53 <klieber>	or just status reports?
Feb 05 19:56:01 <esammer>	klieber: that's why i'm asking
Feb 05 19:56:02 <tseng>	status reports can be on the project page.
Feb 05 19:56:09 <klieber>	I'd suggest status reports.
Feb 05 19:56:14 <tseng>	i dont think we need a meeting again soon..
Feb 05 19:56:20 <karltk>	we must have status reports.
Feb 05 19:56:20 <klieber>	meetings should be ongoing via the mailing list and here.
Feb 05 19:56:23 <klieber>	rather than anything formalized.
Feb 05 19:56:27 <tseng>	right.
Feb 05 19:56:29 <klieber>	(imo)
Feb 05 19:56:29 <npmccallum>	not till we have a prototype
Feb 05 19:56:43 <klieber>	we should have status reports even before then, I would think
Feb 05 19:56:48 <esammer>	ok. no meetings, status reports.
Feb 05 19:57:01 <npmccallum>	meetings after prototype?
Feb 05 19:57:05 <spy|lab>	meetings as necessary, might be a better way to put that =P
Feb 05 19:57:09 <tseng>	ocassionally
Feb 05 19:57:15 <tseng>	what spy said..
Feb 05 19:57:19 <npmccallum>	sounds good to me
Feb 05 19:57:27 <karltk>	ok, I suggest that for now, we have impromptu meetings, or meetings called on -installer.
Feb 05 19:57:29 <esammer>	for the coders, i suggest we either meet regularly or spend a lot of time here together to dicuss coding issues
Feb 05 19:57:38 <karltk>	if it turns out that this doesn't work well enough, we can always reconsidre.
Feb 05 19:57:50 <npmccallum>	I'll be here often (IRC)
Feb 05 19:58:15 <karltk>	esammer: yeah, as I said elsewhere, we should also investigate a network canvas and an audio conferencing tool for the tough discussions.
Feb 05 19:58:36 <esammer>	karltk: that's fine. we can figure that out amongst ourselves, i think.
Feb 05 19:58:50 <esammer>	ok...
Feb 05 19:58:53 <esammer>	moving on?
Feb 05 19:59:02 <npmccallum>	frequency of status reports?
Feb 05 19:59:05 <karltk>	esammer: you're at the end of the list. are you wrapping?;P
Feb 05 19:59:08 <npmccallum>	did we cover that?
Feb 05 19:59:21 <pauldv>	esammer: just call a meeting when needed
Feb 05 19:59:21 <tseng>	yeah..
Feb 05 19:59:24 <esammer>	npmccallum: let's say weekly initially
Feb 05 19:59:33 <klieber>	who do you want bug mails to go to?
Feb 05 19:59:40 <karltk>	npmccallum: at least alongside the releases.
Feb 05 19:59:41 <tseng>	um..
Feb 05 19:59:44 <tseng>	gli-bugs@g.o?
Feb 05 19:59:59 <klieber>	okaly dokaly neighbor
Feb 05 20:00:05 -->	Luke-Jr (~luke-jr@198.248.39.176) has joined #gentoo-installer
Feb 05 20:00:16 <npmccallum>	ok
Feb 05 20:00:23 <esammer>	one more thing before we do QA / wrap up - recruitment / getting involved
Feb 05 20:00:49 <esammer>	karltk mentioned that the actual coders we have for the prototype are ok, which is probably true.
Feb 05 20:01:31 <esammer>	so, in a more generic sense, those who want to get involved are urged to join gentoo-installer@l.g.o and idle in here.
Feb 05 20:01:56 <pauldv>	esammer: while I think that publicity is nice, be carefull with not recruiting more people than is actually usefull (it will only slow things down)
Feb 05 20:02:13 <esammer>	pauldv: correct, which is why i'm going to go with karltk
Feb 05 20:02:54 <esammer>	i would like to invite everyone here to go over the design docs and comment, though.
Feb 05 20:03:08 <esammer>	we need (constructive) input.
Feb 05 20:03:12 <klieber>	blue!
Feb 05 20:03:14 <klieber>	oh sorry.
Feb 05 20:03:18 <esammer>	yes, yes, blue
Feb 05 20:03:43 <klieber>	has anyone tested the cvs module yet to see if it works?
Feb 05 20:03:52 <esammer>	klieber: i haven't, no.
Feb 05 20:03:54 <klieber>	also, how do you want to distribute tarballs?
Feb 05 20:04:08 <klieber>	we can use /experimental if you'd like
Feb 05 20:04:21 <klieber>	rather than ~esammer
Feb 05 20:04:23 <spy|lab>	i'd put 'em out of someone's dev.g.o website initially, no point in mirroring for such small numbers
Feb 05 20:04:25 <karltk>	klieber: that's probably a good idea.
Feb 05 20:04:36 <esammer>	in this instance, would adding an ebuild for snapshots be ok?
Feb 05 20:04:50 <klieber>	if you do that, I'd rather you not pull off of dev, then.
Feb 05 20:04:52 <karltk>	esammer: can people install the installer?
Feb 05 20:04:57 <klieber>	and use /experimental instead
Feb 05 20:05:00 <esammer>	karltk: heh
Feb 05 20:05:02 <npmccallum>	once we have a release, do we want to make an ebuild and put it in the tree? (does catylist need it in the tree?)
Feb 05 20:05:24 <tseng>	i wouldnt provide an in-tree ebuild
Feb 05 20:05:26 <karltk>	npmccallum: it's going to be quite some time before we can interact with catalyst
Feb 05 20:05:26 <enriQUE_>	is the arch-tempelates going to be DTD's? i think it be neat
Feb 05 20:05:31 <tseng>	at this point or any time soonish
Feb 05 20:05:39 <spy|lab>	karltk: should be able to install, so they could generate a profile with the front-end to use remotely
Feb 05 20:05:59 <esammer>	ok. no ebuild, snapshots in /experiemental?
Feb 05 20:06:14 <esammer>	enriQUE_: we'll get to Q&A in a moment, i promise :)
Feb 05 20:06:17 <karltk>	spy|lab: that's probably a good idea when we have a semi-stable interactive front-end
Feb 05 20:06:27 <klieber>	esammer: let me know before you want to distribute the first snapshot, so I can set up a proper directory structure, etc.
Feb 05 20:06:36 <enriQUE_>	ah, pardon me...
Feb 05 20:06:38 <esammer>	klieber: sounds good.
Feb 05 20:06:41 <esammer>	enriQUE_: no worries
Feb 05 20:06:55 <karltk>	for now, I'd like for us to aim for making the release accessible to the people directly interested the projet, and not all-and-sundry users
Feb 05 20:07:54 <esammer>	ok - so /experimental or d.g.o?
Feb 05 20:08:00 <esammer>	initially
Feb 05 20:08:29 <esammer>	klieber: you're infra, why don't you make the call.
Feb 05 20:08:32 <danarmak>	agreed
Feb 05 20:08:40 <karltk>	either is fine; we need a place in /experimental eventually.
Feb 05 20:08:52 <klieber>	experimental then
Feb 05 20:09:07 <esammer>	 /exp it is
Feb 05 20:09:46 <esammer>	i'm going to turn this back to tseng (who can open it to Q&A) because i'm tired of typing like crazy
Feb 05 20:10:10 <esammer>	(someone wake up tseng) :)
Feb 05 20:10:22 <klieber>	tseng: cookies!

Feb 05 20:10:37 <esammer>	ok. i'll open it up to Q&A. :)
Feb 05 20:10:43 <danarmak>	he's in #gentoo-dev
Feb 05 20:10:52 -->	bion (~bion@nat.resnet.ltu.edu) has joined #gentoo-installer
Feb 05 20:11:03 <enriQUE_>	First: my apologies for being eager and abrupting in the team meating :">
Feb 05 20:11:09 <esammer>	enriQUE_: no problem. :)
Feb 05 20:11:30 <enriQUE_>	Secondly my question was: is the arch-tempelates going to be DTD's? I think it'd be neat (being an webstandards- and GUI/UI-enthusiast)
Feb 05 20:11:53 <tseng>	HI!
Feb 05 20:11:56 <esammer>	enriQUE_: there will be DTDs for all XML files (install profiles and arch templates) so documents can be vaidated properly
Feb 05 20:12:01 <esammer>	tseng: :)
Feb 05 20:12:10 <tseng>	i guess its open now :)
Feb 05 20:12:11 <esammer>	validated, even
Feb 05 20:12:16 <tseng>	ill eat my cookies
Feb 05 20:12:28 <karltk>	enriQUE_: we'll probably also write a semantic validator, for the cases possible.
Feb 05 20:13:18 -->	roger55 (~roger@dsl-243-200.utaonline.at) has joined #gentoo-installer
Feb 05 20:13:42 -->	[dx]anti (~russ@164.109.8.241) has joined #gentoo-installer
Feb 05 20:13:43 <enriQUE_>	reason being of course that I'd like to be able to contribute, though just being an simple webcoder :P
Feb 05 20:14:06 <danarmak>	ok to ask next question?
Feb 05 20:14:13 <esammer>	danarmak: shoot
Feb 05 20:14:22 <esammer>	enriQUE_: i don't see a problem there.
Feb 05 20:14:22 <karltk>	enriQUE_: hang around here and you'll find plenty of work:)
Feb 05 20:14:28 <danarmak>	well, i'd like to raise the issue of l10n :-)
Feb 05 20:14:51 <danarmak>	we've discussed this before but now there's a much bigger audience so perhaps some more questions will get answered by knowledgeable people.
Feb 05 20:15:07 <danarmak>	are installer frontends to have l10n (localization - display of text in various languages)?
Feb 05 20:15:14 <karltk>	danarmak: _yes_
Feb 05 20:15:16 <esammer>	danarmak: yes.
Feb 05 20:15:23 <danarmak>	ok, i know that part :-)
Feb 05 20:15:29 <[dx]anti>	danarmak, _("yes")
Feb 05 20:15:40 <esammer>	how it will be handled is more an implementation issue, i think.
Feb 05 20:15:41 <danarmak>	i wanted to present the issue for those who weren't here before; will try to make shorter
Feb 05 20:15:42 <karltk>	anti: lol
Feb 05 20:15:48 <spy|lab>	danarmak: i'm a little confused about l10n, i18n and UTF-8 ... do you have any resources you could point me and anyone else at?
Feb 05 20:16:13 <karltk>	spy|lab: you forgot m17n:)
Feb 05 20:16:20 <spy|lab>	karltk: i can't forget something i didn't know
Feb 05 20:16:39 <spy|lab>	oh, i want to push a11y on this
Feb 05 20:16:40 <danarmak>	anyway, the more interesting thing is how much/well frontends can share translations;
Feb 05 20:17:06 <danarmak>	does anyone know the possibilities of l10n for a console FE
Feb 05 20:17:09 <esammer>	danarmak: i believe gettext handles most of the string database stuff. we can use something like that.
Feb 05 20:17:23 <danarmak>	and which frontend library we'd best use for it with that in view, even if we don't engage in l10n right away.
Feb 05 20:17:25 <tseng>	danarmak, i believe redhat has utf8 console
Feb 05 20:17:32 <[dx]anti>	Just joined here, don't know much about the project really. Are the goals of GLI to be good Desktop / Home User installer, or also include kick start like functionality, remote and bulk installation?
Feb 05 20:17:36 <tseng>	but i have no details
Feb 05 20:17:40 <danarmak>	tseng: and does it just work? i haven't tried so....
Feb 05 20:17:48 <karltk>	danarmak: the technical details are at best skimpy atm. the gtk+ and qt frontends a fairly trivial; both gtk+2 and qt have very good i18n support that's well-documented.
Feb 05 20:17:48 <spy|lab>	[dx]anti: go to the homepage, read the docs before you ask anything else =P
Feb 05 20:18:04 <danarmak>	karltk: right.
Feb 05 20:18:29 <karltk>	danarmak: however, you cannot expect to have the same strings in the textmode ui as the graphical ui.
Feb 05 20:18:32 <[dx]anti>	spy|lab, ah yes :)
Feb 05 20:18:32 <tseng>	danarmak: i only know it exists in some form, tbh..
Feb 05 20:18:34 <danarmak>	the issue is basically, although we perhaps won't be implementing it right away, how much we need to plan ahead when designing the first FE(s)
Feb 05 20:19:03 <danarmak>	a11y is also an issue, but someone else should talk about that, i don't know anything.
